path,run_id,case_id,init_time_utc,provenance,domains,vars,physics,wrfout_count,wrfinput_count,wrfbdy_count,met_em_count,sidecar_cpu_run_dir
/mnt/data/canairy_meteo/runs/phys_sweep/phys_champion/wrf_l3_24h,wrf_l3_24h,,2026-05-20T03:00:00+00:00,CPU-WRF,d03:25 L-9-15,"surf=T2,U10,V10,PSFC,RAINNC; 3d=T,U,V,W,QVAPOR","mp_physics=8, 8, 8 bl_pbl_physics=1, 1, 1 sf_sfclay_physics=1, 1, 1 ra_lw_physics=4, 4, 4 ra_sw_physics=4, 4, 4 cu_physics=1, 0, 0",25,3,1,39,
/mnt/data/canairy_meteo/runs/terrain_sweep/v1_control/wrf_l3_25h,wrf_l3_25h,,2026-05-19T03:00:00+00:00,CPU-WRF,"d01:25 L-9-15, d02:24 L-9-14, d03:24 L-9-14","surf=T2,U10,V10,PSFC,RAINNC; 3d=T,U,V,W,QVAPOR","mp_physics=8, 8, 8 bl_pbl_physics=5, 5, 5 sf_sfclay_physics=5, 5, 5 ra_lw_physics=4, 4, 4 ra_sw_physics=4, 4, 4 cu_physics=1, 0, 0",73,3,1,39,
/mnt/data/canairy_meteo/gen2_archive/teacher_l3/20231120_00z,20231120_00z,20231120_00z,2023-11-20T00:00:00+00:00,CPU-WRF,"d01:13 L0-12, d02:13 L0-12, d03:13 L0-12","surf=T2,U10,V10,PSFC,RAINNC; 3d=T,U,V,W,QVAPOR",-,39,0,0,0,
/mnt/data/canairy_meteo/gen2_archive/teacher_l3/20240204_00z,20240204_00z,20240204_00z,2024-02-04T00:00:00+00:00,CPU-WRF,"d01:13 L0-12, d02:13 L0-12, d03:13 L0-12","surf=T2,U10,V10,PSFC,RAINNC; 3d=T,U,V,W,QVAPOR",-,39,0,0,0,
/mnt/data/canairy_meteo/gen2_archive/teacher_l3/20240315_00z,20240315_00z,20240315_00z,2024-03-15T00:00:00+00:00,CPU-WRF,"d01:13 L0-12, d02:13 L0-12, d03:13 L0-12","surf=T2,U10,V10,PSFC,RAINNC; 3d=T,U,V,W,QVAPOR",-,39,0,0,0,
/mnt/data/canairy_meteo/gen2_archive/teacher_l3/20240620_00z,20240620_00z,20240620_00z,2024-06-20T00:00:00+00:00,CPU-WRF,"d01:13 L0-12, d02:13 L0-12, d03:13 L0-12","surf=T2,U10,V10,PSFC,RAINNC; 3d=T,U,V,W,QVAPOR",-,39,0,0,0,
/mnt/data/canairy_meteo/gen2_archive/teacher_l3/20240805_12z,20240805_12z,20240805_12z,2024-08-05T12:00:00+00:00,CPU-WRF,"d01:13 L0-12, d02:13 L0-12, d03:13 L0-12","surf=T2,U10,V10,PSFC,RAINNC; 3d=T,U,V,W,QVAPOR",-,39,0,0,0,
/mnt/data/canairy_meteo/gen2_archive/teacher_l3/20250601_00z,20250601_00z,20250601_00z,2025-06-01T00:00:00+00:00,CPU-WRF,"d01:13 L0-12, d02:13 L0-12, d03:13 L0-12","surf=T2,U10,V10,PSFC,RAINNC; 3d=T,U,V,W,QVAPOR",-,39,0,0,0,
/mnt/data/canairy_meteo/runs/wrf_l3/20260428_18z_l3_24h_20260525T221139Z,20260428_18z_l3_24h_20260525T221139Z,20260428_18z,2026-04-28T18:00:00+00:00,CPU-WRF,"d01:3 L0-2, d02:3 L0-2, d03:3 L0-2, d04:3 L0-2, d05:3 L0-2","surf=T2,U10,V10,PSFC,RAINNC; 3d=T,U,V,W,QVAPOR","mp_physics=8, 8, 8, 8, 8 bl_pbl_physics=5, 5, 5, 5, 5 sf_sfclay_physics=5, 5, 5, 5, 5 ra_lw_physics=4, 4, 4, 4, 4 ra_sw_physics=4, 4, 4, 4, 4 cu_physics=1, 0, 0, 0, 0",15,5,1,65,
/mnt/data/canairy_meteo/runs/wrf_l3/20260428_18z_l3_24h_distinct_surface_gate_20260607T003529Z,20260428_18z_l3_24h_distinct_surface_gate_20260607T003529Z,20260428_18z,2026-04-28T18:00:00+00:00,CPU-WRF,"d01:22 L0-21, d02:22 L0-21, d03:22 L0-21, d04:22 L0-21, d05:22 L0-21","surf=T2,U10,V10,PSFC,RAINNC; 3d=T,U,V,W,QVAPOR","mp_physics=8, 8, 8, 8, 8 bl_pbl_physics=5, 5, 5, 5, 5 sf_sfclay_physics=5, 5, 5, 5, 5 ra_lw_physics=4, 4, 4, 4, 4 ra_sw_physics=4, 4, 4, 4, 4 cu_physics=1, 0, 0, 0, 0",110,5,1,65,
/mnt/data/canairy_meteo/runs/cu0_confirm/20260429_18z_cu0,20260429_18z_cu0,20260429_18z,2026-04-29T18:00:00+00:00,CPU-WRF,"d01:25 L0-24, d02:25 L0-24","surf=T2,U10,V10,PSFC,RAINNC; 3d=T,U,V,W,QVAPOR","mp_physics=8, 8 bl_pbl_physics=5, 5 sf_sfclay_physics=5, 5 ra_lw_physics=4, 4 ra_sw_physics=4, 4 cu_physics=0, 0",50,2,1,65,
/mnt/data/canairy_meteo/runs/wrf_l2_backfill_output/20260429_18z_l2_72h_20260524T204451Z,20260429_18z_l2_72h_20260524T204451Z,20260429_18z,2026-04-29T18:00:00+00:00,CPU-WRF,"d01:73 L0-72, d02:73 L0-72","surf=T2,U10,V10,PSFC,RAINNC; 3d=T,U,V,W,QVAPOR",-,146,0,0,0,
/mnt/data/canairy_meteo/runs/wrf_l2_backfill_output/20260430_18z_l2_72h_20260520T191306Z,20260430_18z_l2_72h_20260520T191306Z,20260430_18z,2026-04-30T18:00:00+00:00,CPU-WRF,"d01:73 L0-72, d02:73 L0-72","surf=T2,U10,V10,PSFC,RAINNC; 3d=T,U,V,W,QVAPOR",-,146,0,0,0,
/mnt/data/canairy_meteo/runs/wrf_l2_backfill_output/20260501_18z_l2_72h_20260519T173026Z,20260501_18z_l2_72h_20260519T173026Z,20260501_18z,2026-05-01T18:00:00+00:00,CPU-WRF,"d01:73 L0-72, d02:73 L0-72","surf=T2,U10,V10,PSFC,RAINNC; 3d=T,U,V,W,QVAPOR",-,146,0,0,0,
/mnt/data/canairy_meteo/runs/wrf_l2_backfill_output/20260502_18z_l2_72h_20260520T103946Z,20260502_18z_l2_72h_20260520T103946Z,20260502_18z,2026-05-02T18:00:00+00:00,CPU-WRF,"d01:73 L0-72, d02:73 L0-72","surf=T2,U10,V10,PSFC,RAINNC; 3d=T,U,V,W,QVAPOR",-,146,0,0,0,
/mnt/data/canairy_meteo/runs/wrf_l2_backfill_output/20260503_18z_l2_72h_20260518T205545Z,20260503_18z_l2_72h_20260518T205545Z,20260503_18z,2026-05-03T18:00:00+00:00,CPU-WRF,"d01:73 L0-72, d02:73 L0-72","surf=T2,U10,V10,PSFC,RAINNC; 3d=T,U,V,W,QVAPOR",-,146,0,0,0,
/mnt/data/canairy_meteo/runs/wrf_l2_backfill_output/20260504_18z_l2_72h_20260515T061907Z,20260504_18z_l2_72h_20260515T061907Z,20260504_18z,2026-05-04T18:00:00+00:00,CPU-WRF,"d01:73 L0-72, d02:73 L0-72","surf=T2,U10,V10,PSFC,RAINNC; 3d=T,U,V,W,QVAPOR",-,146,0,0,0,
/mnt/data/canairy_meteo/runs/wrf_l2_backfill_output/20260505_18z_l2_72h_20260518T074056Z,20260505_18z_l2_72h_20260518T074056Z,20260505_18z,2026-05-05T18:00:00+00:00,CPU-WRF,"d01:73 L0-72, d02:73 L0-72","surf=T2,U10,V10,PSFC,RAINNC; 3d=T,U,V,W,QVAPOR",-,146,0,0,0,
/mnt/data/canairy_meteo/runs/wrf_l2_backfill_output/20260506_18z_l2_72h_20260513T222831Z,20260506_18z_l2_72h_20260513T222831Z,20260506_18z,2026-05-06T18:00:00+00:00,CPU-WRF,"d01:73 L0-72, d02:73 L0-72","surf=T2,U10,V10,PSFC,RAINNC; 3d=T,U,V,W,QVAPOR",-,146,0,0,0,
/mnt/data/canairy_meteo/runs/wrf_l2_backfill_output/20260507_18z_l2_72h_20260513T124307Z,20260507_18z_l2_72h_20260513T124307Z,20260507_18z,2026-05-07T18:00:00+00:00,CPU-WRF,"d01:73 L0-72, d02:73 L0-72","surf=T2,U10,V10,PSFC,RAINNC; 3d=T,U,V,W,QVAPOR",-,146,0,0,0,
/mnt/data/canairy_meteo/runs/wrf_l2_backfill_output/20260508_18z_l2_72h_20260512T161222Z,20260508_18z_l2_72h_20260512T161222Z,20260508_18z,2026-05-08T18:00:00+00:00,CPU-WRF,"d01:73 L0-72, d02:73 L0-72","surf=T2,U10,V10,PSFC,RAINNC; 3d=T,U,V,W,QVAPOR",-,146,0,0,0,
/mnt/data/canairy_meteo/runs/wrf_l2/20260509_18z_l2_72h_20260511T190519Z,20260509_18z_l2_72h_20260511T190519Z,20260509_18z,2026-05-09T18:00:00+00:00,CPU-WRF,"d01:73 L0-72, d02:73 L0-72","surf=T2,U10,V10,PSFC,RAINNC; 3d=T,U,V,W,QVAPOR","mp_physics=8, 8 bl_pbl_physics=5, 5 sf_sfclay_physics=5, 5 ra_lw_physics=4, 4 ra_sw_physics=4, 4 cu_physics=1, 0",146,2,1,0,
/mnt/data/canairy_meteo/runs/wrf_l3/20260509_18z_l3_24h_20260511T190519Z,20260509_18z_l3_24h_20260511T190519Z,20260509_18z,2026-05-09T18:00:00+00:00,CPU-WRF,"d01:25 L0-24, d02:25 L0-24, d03:25 L0-24, d04:25 L0-24, d05:25 L0-24","surf=T2,U10,V10,PSFC,RAINNC; 3d=T,U,V,W,QVAPOR","mp_physics=8, 8, 8, 8, 8 bl_pbl_physics=5, 5, 5, 5, 5 sf_sfclay_physics=5, 5, 5, 5, 5 ra_lw_physics=4, 4, 4, 4, 4 ra_sw_physics=4, 4, 4, 4, 4 cu_physics=1, 0, 0, 0, 0",125,5,1,0,
/mnt/data/canairy_meteo/runs/wrf_l3/20260509_18z_l3_24h_20260512T154354Z,20260509_18z_l3_24h_20260512T154354Z,20260509_18z,2026-05-09T18:00:00+00:00,CPU-WRF,"d01:3 L0-2, d02:3 L0-2, d03:3 L0-2, d04:3 L0-2, d05:3 L0-2","surf=T2,U10,V10,PSFC,RAINNC; 3d=T,U,V,W,QVAPOR","mp_physics=8, 8, 8, 8, 8 bl_pbl_physics=5, 5, 5, 5, 5 sf_sfclay_physics=5, 5, 5, 5, 5 ra_lw_physics=4, 4, 4, 4, 4 ra_sw_physics=4, 4, 4, 4, 4 cu_physics=1, 0, 0, 0, 0",15,5,1,0,
