Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
38.1,1644643608,250757,6558.7,2510.0,2190,6107752,47678.5,cuLaunchKernelEx
20.5,884975329,129641,6826.4,3321.0,2810,4212200,33572.7,cuMemcpyDtoDAsync_v2
12.2,525622872,4872,107886.5,67215.5,3430,6030212,335635.7,cuMemcpyDtoHAsync_v2
5.5,236387163,23332,10131.5,3280.0,2770,3266933,113303.0,cuGraphLaunch
5.4,231565747,3343,69268.8,4270.0,260,36342415,1282476.0,cuMemcpyHtoDAsync_v2
3.8,162800974,5838,27886.4,11215.5,480,1665062,91415.4,cuLaunchHostFunc
3.0,129624780,664,195218.0,3845.0,2040,38632341,2198996.1,cuMemHostAlloc
2.1,88847049,577,153981.0,66861.0,13950,19752329,856572.2,cuModuleLoadFatBinary
1.8,76077427,2128,35750.7,560.0,190,36529147,828770.0,cuEventCreate
1.1,48539814,634,76561.2,14535.0,5900,4078099,306680.8,cuEventSynchronize
1.0,43490654,9043,4809.3,2430.0,2140,7060550,82971.5,cuLaunchKernel
1.0,42926693,5515,7783.6,500.0,380,2640028,80756.8,cuStreamSynchronize
0.6,27425632,577,47531.4,10050.0,3570,10485384,471066.2,cuModuleUnload
0.6,23893346,11066,2159.2,910.0,280,2331757,26848.9,cuEventRecord
0.5,20881236,3475,6009.0,2540.0,1330,2021634,49946.7,cuMemsetD32Async
0.4,18713085,53140,352.1,110.0,80,2026604,14171.6,cuCtxSetCurrent
0.4,17001053,130946,129.8,120.0,100,879276,2430.5,cuStreamIsCapturing
0.3,14744266,2902,5080.7,530.0,340,7026659,148365.6,cudaGetFuncBySymbol_v11000
0.2,9984595,7354,1357.7,860.0,330,110151,1839.2,cuStreamWaitEvent
0.2,9462643,720,13142.6,3265.0,2570,3999808,163046.7,cudaLaunchKernel
0.2,9322626,5,1864525.2,1790332.0,1768973,2105885,141155.5,cudaGetDeviceProperties_v12000
0.2,8942859,1429,6258.1,1690.0,1250,1913474,61247.2,cuMemAlloc_v2
0.2,7774018,105,74038.3,70721.0,26090,412382,35370.7,cuMemGetInfo_v2
0.1,5158211,1419,3635.1,1550.0,1240,1017297,37942.3,cuMemFree_v2
0.1,4758346,30,158611.5,94690.5,35920,554144,150038.1,cuGraphInstantiateWithFlags
0.1,4456624,656,6793.6,2615.0,1600,1028597,56354.7,cuMemFreeHost
0.1,3307703,3,1102567.7,13340.0,1300,3293063,1897034.2,cudaFree
0.0,1907781,30,63592.7,29990.0,18610,270502,69595.8,cuGraphExecDestroy
0.0,1485911,182,8164.3,190.0,110,1376440,101985.5,cuTensorMapEncodeTiled
0.0,1485560,21,70741.0,6840.0,1560,429243,128701.1,cuStreamCreate
0.0,1082528,32,33829.0,2360.0,1640,163201,55798.2,cudaStreamCreateWithFlags
0.0,950438,784,1212.3,1150.0,630,6970,384.9,cuGraphExecKernelNodeSetParams_v2
0.0,880704,784,1123.3,790.0,340,28230,1541.8,cuGraphAddNode_v2
0.0,725066,2,362533.0,362533.0,6800,718266,503082.4,cudaHostAlloc
0.0,430462,4,107615.5,15480.0,3440,396062,192620.5,cudaMemsetAsync
0.0,429525,30,14317.5,5365.5,2590,67651,17718.2,cuGraphDestroy
0.0,403391,1268,318.1,190.0,130,3210,267.7,cuEventDestroy_v2
0.0,362812,8,45351.5,2515.0,1690,244951,88185.1,cuStreamCreateWithPriority
0.0,334483,2,167241.5,167241.5,154951,179532,17381.4,cuModuleLoadData
0.0,302773,1303,232.4,190.0,90,3450,203.7,cuGetProcAddress_v2
0.0,204051,110,1855.0,1675.0,1290,6390,631.2,cuGraphExecMemcpyNodeSetParams
0.0,118491,4,29622.8,6650.0,3190,102001,48279.7,cudaMalloc
0.0,96650,110,878.6,640.0,370,8780,899.1,cuGraphAddMemcpyNode
0.0,90250,756,119.4,100.0,90,1120,101.6,cuGraphNodeGetType
0.0,63181,30,2106.0,1550.0,740,6421,1473.3,cuGraphCreate
0.0,14040,4,3510.0,2065.0,1750,8160,3112.3,cuInit
0.0,11520,22,523.6,280.0,260,2730,711.0,cuOccupancyMaxActiveClusters
0.0,2900,2,1450.0,1450.0,1340,1560,155.6,cudaEventCreateWithFlags
0.0,2300,2,1150.0,1150.0,960,1340,268.7,cuOccupancyAvailableDynamicSMemPerBlock
0.0,740,3,246.7,260.0,190,290,51.3,cuModuleGetLoadingMode
