Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
35.9,199554947,6628,30107.9,31392.0,20608,35936,3942.5,"stream_executor::gpu::RedzoneAllocatorKernelImpl(unsigned char *, unsigned char, unsigned long, unsigned int *)"
16.3,90649736,116136,780.5,768.0,704,335104,1950.5,loop_add_fusion_9
11.3,62787809,360,174410.6,156608.0,155680,781889,83817.9,void pcrGtsvBatchSharedMemKernelLoop<double>(pcrGtsvBatchGlobalMemParams_t<T1>)
8.9,49182440,47520,1035.0,960.0,896,371552,3860.7,loop_multiply_fusion_1
8.0,44238521,46440,952.6,928.0,896,568928,3038.7,loop_subtract_fusion_1
5.0,27781912,22176,1252.8,1120.0,1056,576065,4604.1,loop_select_fusion_3
1.9,10383206,360,28842.2,28768.0,28096,31744,357.7,void pcrGtsvBatchFirstPass<double>(pcrGtsvBatchGlobalMemParams_t<T1>)
1.3,7449445,634,11749.9,8544.0,1280,1092161,43781.3,"stream_executor::gpu::<unnamed>::DelayKernel(volatile stream_executor::GpuSemaphoreState *, stream_executor::GpuSemaphoreState)"
0.9,4990748,6273,795.6,768.0,704,223200,2810.0,loop_add_fusion
0.7,3864932,24,161038.8,190000.0,13504,280000,112060.0,loop_and_select_transpose_fusion
0.6,3563000,1080,3299.1,3232.0,3040,5280,184.6,loop_reverse_fusion_1
0.6,3116258,3204,972.6,960.0,736,2336,79.7,loop_multiply_fusion
0.5,2900260,3096,936.8,928.0,864,1632,78.6,loop_subtract_fusion
0.5,2860225,8,357528.1,355344.5,354432,363392,3748.5,loop_divide_multiply_power_select_fusion
0.5,2753316,890,3093.6,2416.0,768,27456,2745.8,"void stream_executor::gpu::xla_fp_comparison<double>(T1 *, T1 *, float, unsigned long, int *)"
0.5,2651139,8,331392.4,330480.0,330368,333632,1366.3,loop_multiply_select_sqrt_fusion
0.4,2359232,80,29490.4,29504.0,29120,30144,195.1,loop_transpose_fusion_7
0.4,2153324,1152,1869.2,1856.0,1791,3712,83.4,loop_reverse_fusion_4
0.3,1722144,12,143512.0,110016.0,106560,216064,51998.5,loop_select_fusion_12
0.3,1447554,849,1705.0,2272.0,736,14848,1126.2,"stream_executor::gpu::RepeatBufferKernelImpl(char *, long, long)"
