Generating SQLite file /tmp/v015_nsys_base_v014.sqlite from /tmp/v015_nsys_base_v014.nsys-rep
Processing [/tmp/v015_nsys_base_v014.sqlite] with [/opt/nvidia/nsight-systems/2025.5.2/host-linux-x64/reports/cuda_api_sum.py]... 
Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
71.5,17589758720,2140454,8217.8,1740.0,1350,10901316,139377.3,cuLaunchKernelEx
11.0,2701286652,493480,5474.0,2180.0,1770,1198619,27558.2,cuMemcpyDtoDAsync_v2
10.3,2531134903,272,9305643.0,9334549.0,3650,10405502,820128.8,cuStreamSynchronize
5.8,1425994796,43476,32799.6,19070.0,2710,2969044,39294.4,cuGraphLaunch
0.4,97894298,877,111624.1,8640.0,1370,23181234,1409793.7,cuMemcpyHtoDAsync_v2
0.3,78121739,55,1420395.3,4580.0,1420,25611923,5131128.8,cuMemHostAlloc
0.2,41150038,145,283793.4,37051.0,24560,17538609,1944992.3,cuModuleLoadFatBinary
0.1,36485447,494698,73.8,70.0,60,6390,56.5,cuStreamIsCapturing
0.1,25618813,145,176681.5,8010.0,4200,12880832,1384888.8,cuModuleUnload
0.1,12410481,3252,3816.3,2150.0,260,301832,9659.4,cuLaunchHostFunc
0.0,12044502,2700,4460.9,2280.0,1580,859727,16926.6,cudaLaunchKernel
0.0,11904855,609,19548.2,11240.0,1770,228921,17623.0,cuMemcpyDtoHAsync_v2
0.0,8993331,5,1798666.2,1780694.0,1551383,1966615,164262.4,cudaGetDeviceProperties_v12000
0.0,8556977,5487,1559.5,560.0,150,343623,8757.2,cuEventRecord
0.0,7220118,56,128930.7,59880.0,21410,359843,114794.2,cuGraphInstantiateWithFlags
0.0,4414148,4160,1061.1,670.0,190,73571,1478.8,cuStreamWaitEvent
0.0,4307792,13803,312.1,70.0,50,194172,4191.7,cuCtxSetCurrent
0.0,3625387,11,329580.6,178271.0,93801,1634043,442181.0,cuMemAlloc_v2
0.0,2603572,56,46492.4,21735.5,11460,142931,42352.7,cuGraphExecDestroy
0.0,2249128,3,749709.3,10290.0,1120,2237718,1288661.5,cudaFree
0.0,1719944,1694,1015.3,840.0,400,9810,707.6,cuGraphAddNode_v2
0.0,1600292,903,1772.2,1350.0,110,48480,2626.7,cuEventCreate
0.0,1157467,23,50324.7,49420.0,17440,75731,11340.3,cuMemGetInfo_v2
0.0,887074,21,42241.6,4260.0,1150,215581,70993.1,cuStreamCreate
0.0,702766,32,21961.4,1405.0,1000,100421,36153.2,cudaStreamCreateWithFlags
0.0,645778,56,11531.8,4640.0,2190,39121,12044.2,cuGraphDestroy
0.0,546744,2,273372.0,273372.0,3520,543224,381628.4,cudaHostAlloc
0.0,248692,8,31086.5,1700.0,1080,167571,60426.2,cuStreamCreateWithPriority
0.0,223421,48,4654.6,3670.0,2300,22450,3677.8,cuMemFreeHost
0.0,216981,1303,166.5,140.0,50,3760,168.2,cuGetProcAddress_v2
0.0,208480,186,1120.9,760.0,420,22870,1833.3,cuGraphAddMemcpyNode
0.0,143102,2,71551.0,71551.0,60761,82341,15259.4,cuModuleLoadData
0.0,103681,1644,63.1,60.0,50,520,21.5,cuGraphNodeGetType
0.0,81971,4,20492.8,3780.0,2040,72371,34600.6,cudaMalloc
0.0,61490,17,3617.1,1660.0,1210,11730,3419.6,cuGraphExecKernelNodeSetParams_v2
0.0,47890,4,11972.5,10565.0,2490,24270,11173.7,cudaMemsetAsync
0.0,39930,56,713.0,350.0,180,3000,814.7,cuGraphCreate
0.0,16210,40,405.3,200.0,70,1590,422.1,cuTensorMapEncodeTiled
0.0,8710,4,2177.5,1700.0,1340,3970,1207.2,cuInit
0.0,7110,22,323.2,165.0,140,1760,454.4,cuOccupancyMaxActiveClusters
0.0,2210,2,1105.0,1105.0,1060,1150,63.6,cudaEventCreateWithFlags
0.0,1590,2,795.0,795.0,760,830,49.5,cuOccupancyAvailableDynamicSMemPerBlock
0.0,680,3,226.7,170.0,130,380,134.3,cuModuleGetLoadingMode

