Generating SQLite file /tmp/v015_nsys_base_v014.sqlite from /tmp/v015_nsys_base_v014.nsys-rep
Processing [/tmp/v015_nsys_base_v014.sqlite] with [/opt/nvidia/nsight-systems/2025.5.2/host-linux-x64/reports/cuda_gpu_kern_sum.py]... 
Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
41.3,10385739908,567000,18317.0,18176.0,17951,737535,6218.8,loop_multiply_fusion_1
8.6,2168051424,270,8029820.1,7981971.5,7917724,8852035,158941.6,input_reduce_fusion_29
3.1,773476458,994140,778.0,768.0,607,492800,1253.9,loop_add_fusion_8
1.7,425606463,5760,73890.0,73056.0,68384,428033,8238.4,loop_select_fusion_1
1.6,399020687,5760,69274.4,68608.0,67680,413472,4749.2,loop_select_fusion_2
1.5,367086726,11340,32371.0,32192.0,31809,554303,8198.1,loop_and_clamp_select_fusion
1.3,337408600,1350,249932.3,246176.5,244864,828961,37901.8,void pcrGtsvBatchSharedMemKernelLoop<double>(pcrGtsvBatchGlobalMemParams_t<T1>)
1.3,331774176,5400,61439.7,61696.0,51904,552704,9265.8,loop_or_select_fusion
1.1,271713056,270,1006344.7,996128.5,987935,1525279,59498.9,loop_add_divide_multiply_select_sqrt_subtract_fusion
1.0,249537919,3150,79218.4,78592.0,76064,799392,13985.9,loop_add_compare_divide_fusion
1.0,247882800,2700,91808.4,91200.0,89952,632481,13396.8,loop_add_fusion_26
0.8,207666320,270,769134.5,784641.0,709887,1305344,51224.2,loop_add_select_fusion
0.8,197874518,2700,73286.9,72768.0,69952,818495,17540.0,loop_slice_fusion_24
0.8,193570414,270,716927.5,704416.0,698336,1313025,72400.9,loop_add_compare_maximum_select_transpose_fusion
0.8,192033608,270,711235.6,711392.0,702976,713952,1251.5,loop_add_and_divide_maximum_multiply_select_sqrt_fusion
0.8,190212232,270,704489.7,704703.0,698367,705120,875.5,loop_add_fusion_29
0.7,183864957,270,680981.3,663552.0,657760,1251039,82007.5,loop_reduce_window_fusion_3
0.7,165214024,174151,948.7,928.0,768,301312,1229.9,loop_subtract_fusion
0.6,160158941,270,593181.3,584000.0,579040,1142176,56630.8,loop_compare_divide_maximum_transpose_fusion
0.6,159761371,4050,39447.3,39040.0,38464,590816,12830.8,loop_slice_fusion
0.6,157361815,270,582821.5,580432.0,563456,839455,21889.3,input_add_minimum_multiply_reduce_subtract_fusion
0.6,156521638,270,579709.8,578400.0,557088,885857,23267.7,input_add_divide_maximum_power_sqrt_transpose_fusion
0.6,156178038,270,578437.2,575360.0,569376,937311,31379.2,input_compare_power_reduce_select_transpose_fusion
0.6,154616416,270,572653.4,570721.0,559168,804321,19587.2,input_concatenate_fusion_35
0.6,151842781,270,562380.7,552961.0,542176,614560,19008.0,input_add_divide_transpose_fusion_2
0.6,146537488,2160,67841.4,67039.5,66336,614368,17478.1,loop_select_fusion_4
0.6,143720799,2160,66537.4,65984.0,65216,747328,16455.7,loop_select_fusion_3
0.6,142745988,270,528688.8,528127.0,523648,581505,5519.0,loop_and_divide_power_select_fusion
0.6,142672483,270,528416.6,512800.5,508767,1188992,76944.6,loop_multiply_fusion_21
0.5,130455835,270,483169.8,483296.0,479873,486144,1241.1,input_add_compare_divide_transpose_fusion
0.5,125895224,4050,31085.2,30752.0,30432,683392,12099.2,loop_slice_subtract_fusion_1
0.5,124170697,270,459891.5,444367.5,439808,1006562,50676.0,loop_and_divide_select_transpose_fusion
0.5,123534398,1350,91507.0,90656.0,89792,599233,13874.4,loop_add_fusion_14
0.5,120782776,270,447343.6,435152.0,431328,1125025,74853.2,input_add_transpose_fusion
0.5,119816627,2700,44376.5,43936.0,42464,574496,15363.8,loop_add_divide_multiply_fusion_1
0.5,119792393,118833,1008.1,992.0,736,317920,1238.0,loop_multiply_fusion
0.4,101961703,270,377635.9,369712.5,367616,401856,13562.9,loop_multiply_subtract_transpose_fusion
0.4,99209472,1350,73488.5,72704.0,69600,315168,6737.1,loop_slice_fusion_1
0.4,98817514,270,365990.8,366048.0,359872,375520,2067.5,loop_reverse_select_fusion_1
0.4,97892992,11340,8632.5,8576.0,8416,226976,2062.6,loop_add_minimum_fusion
0.4,93536038,270,346429.8,340175.5,331136,408161,18472.2,input_select_transpose_fusion_1
0.4,92118726,2700,34118.0,33920.0,33024,552929,9990.2,loop_multiply_fusion_9
0.4,89561892,270,331710.7,331552.5,328480,340096,1647.6,loop_and_fusion_9
0.3,87845541,270,325353.9,323360.0,320448,888001,34371.6,loop_subtract_transpose_fusion
0.3,86936668,270,321987.7,317567.5,308832,343873,10655.4,loop_maximum_select_fusion
0.3,85365919,270,316170.1,316224.0,312256,320096,1283.5,loop_add_compare_divide_select_subtract_transpose_fusion
0.3,83232312,270,308267.8,298591.5,296576,641152,22873.5,input_transpose_fusion_37
0.3,79890707,270,295891.5,275088.0,273280,1002720,96912.3,loop_multiply_subtract_transpose_fusion_2
0.3,76125953,270,281948.0,281184.0,275104,317536,7609.5,input_transpose_fusion_57
0.3,76066783,59400,1280.6,1152.0,1088,301696,1246.0,loop_select_fusion_9
0.3,71616644,71280,1004.7,992.0,928,3616,129.8,loop_multiply_fusion_8
0.3,70708259,2700,26188.2,26112.0,25536,254080,4393.3,input_reduce_fusion_16
0.3,69231718,900,76924.1,76480.0,75040,301504,7543.9,loop_add_compare_divide_fusion_1
0.3,65516354,270,242653.2,242912.0,232545,245440,1507.1,input_reduce_fusion_18
0.2,62656120,270,232059.7,232112.0,229824,232800,383.6,input_add_compare_divide_multiply_transpose_fusion
0.2,61973944,1350,45906.6,46064.0,42591,381185,13946.7,loop_add_divide_multiply_fusion
0.2,61541115,11340,5426.9,5120.0,4544,7552,631.2,loop_add_divide_power_subtract_fusion
0.2,60268608,1350,44643.4,44416.0,43584,391360,9449.4,void pcrGtsvBatchFirstPass<double>(pcrGtsvBatchGlobalMemParams_t<T1>)
0.2,57799438,270,214072.0,214079.5,212896,215104,391.0,loop_add_divide_pad_transpose_fusion_1
0.2,57514592,270,213017.0,213023.0,211328,214432,517.7,loop_add_divide_pad_transpose_fusion
0.2,56014983,22680,2469.8,2432.0,2304,318720,2927.6,loop_dynamic_update_slice_fusion_3
0.2,55473704,270,205458.2,205392.0,201792,209440,1350.7,loop_slice_fusion_32
0.2,55372327,270,205082.7,205120.0,203008,205600,302.9,loop_add_maximum_multiply_fusion
0.2,54331209,720,75460.0,73440.0,71136,92096,4309.9,loop_select_fusion_15
0.2,52847923,270,195733.0,195744.0,194655,196288,247.3,input_reduce_subtract_fusion
0.2,51178907,270,189551.5,190128.5,177568,191712,2116.6,input_broadcast_divide_minimum_multiply_subtract_transpose_fusion
