Generating SQLite file /tmp/v015_nsys_base_v014.sqlite from /tmp/v015_nsys_base_v014.nsys-rep
Processing [/tmp/v015_nsys_base_v014.sqlite] with [/opt/nvidia/nsight-systems/2025.5.2/host-linux-x64/reports/nvtx_gpu_proj_sum.py]... 
Range,Style,Total Proj Time (ns),Total Range Time (ns),Range Instances,Proj Avg (ns),Proj Med (ns),Proj Min (ns),Proj Max (ns),Proj StdDev (ns),Total GPU Ops,Avg GPU Ops,Avg Range Lvl,Avg Num Child
TSL:Thunk:#hlo_op=while.1992#,PushPop,26214981391,26199967908,3,8738327130.3,8732355148.0,8730260732,8752365511,12202612.2,2679750,893250.0,1.0,28800.0
"TSL:XlaModule:#hlo_module=jit__run_forecast_operational_jit,program_id=338#",PushPop,17462881352,17472681450,2,8731440676.0,8731440676.0,8730375004,8732506348,1507087.8,1786504,893252.0,0.0,3.0
"TSL:Thunk:#name=jit(_run_forecast_operational_jit)/while/body/closed_call/jit(step_mynn_pbl_column),hlo_op=while.1952#",PushPop,11660566034,12133501039,270,43187281.6,42842167.0,42643225,45451593,526440.6,1156680,4284.0,2.0,126.0
"TSL:Thunk:#name=jit(_run_forecast_operational_jit)/while/body/closed_call/jit(step_mynn_pbl_column)/vmap(vmap())/while/body/closed_call,hlo_op=while.1#",PushPop,10886975906,11240851500,11340,960050.8,952449.0,945153,1691903,48261.9,1134000,100.0,3.0,100.0
"TSL:Thunk:#name=jit(_run_forecast_operational_jit)/while/body/closed_call/jit(step_mynn_pbl_column)/vmap(vmap())/while/body/closed_call/while/body/closed_call,hlo_op=loop_multiply_fusion.1#",PushPop,10385739908,1507806219,567000,18317.0,18176.0,17951,737535,6218.8,567000,1.0,4.0,0.0
"TSL:XlaModule:#hlo_module=jit__run_forecast_operational_jit,program_id=335#",PushPop,8752561927,8766957022,1,8752561927.0,8752561927.0,8752561927,8752561927,0.0,893252,893252.0,0.0,3.0
TSL:Thunk:#hlo_op=while.1991#,PushPop,2445174567,2984297771,270,9056202.1,8999673.0,8926716,9868938,178007.7,726300,2690.0,2.0,100.0
TSL:Thunk:#hlo_op=command_buffer_313#,PushPop,2182506715,27656621,180,12125037.3,12062992.5,11968794,12940742,186166.5,180,1.0,2.0,0.0
TSL:Thunk:#hlo_op=command_buffer_17#,PushPop,1236382063,14149920,180,6868789.2,6822724.5,6747101,7925313,175969.1,180,1.0,2.0,0.0
TSL:Thunk:#hlo_op=while.1990#,PushPop,1218795945,3870481625,270,4514059.1,4494019.5,4462782,5267847,84078.2,363150,1345.0,2.0,50.0
TSL:Thunk:#hlo_op=command_buffer_338#,PushPop,1093389563,12462740,90,12148772.9,12079314.0,12014234,13113082,198443.3,90,1.0,2.0,0.0
TSL:Thunk:#hlo_op=command_buffer_1099#,PushPop,943535774,86580094,1800,524186.5,521441.0,515745,1245536,35893.0,1800,1.0,3.0,0.0
TSL:Thunk:#hlo_op=command_buffer_42#,PushPop,614465870,6152225,90,6827398.6,6777329.0,6719261,7555423,149870.2,90,1.0,2.0,0.0
TSL:Thunk:#hlo_op=command_buffer_1124#,PushPop,471251515,38791025,900,523612.8,519776.0,513024,1270591,40021.5,900,1.0,3.0,0.0
TSL:Thunk:#hlo_op=command_buffer_767#,PushPop,469326888,55912131,900,521474.3,520096.5,514048,1030050,24003.4,900,1.0,3.0,0.0
TSL:Thunk:#hlo_op=command_buffer_859#,PushPop,446721588,30727322,180,2481786.6,2454960.0,2437439,3206529,110224.7,180,1.0,2.0,0.0
