Generating SQLite file /tmp/v015_nsys_cond16only_noflags.sqlite from /tmp/v015_nsys_cond16only_noflags.nsys-rep
Processing [/tmp/v015_nsys_cond16only_noflags.sqlite] with [/opt/nvidia/nsight-systems/2025.5.2/host-linux-x64/reports/cuda_api_sum.py]... 
Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
47.9,8373314842,1006454,8319.6,1650.0,1380,7554690,129738.8,cuLaunchKernelEx
32.5,5686364307,493480,11523.0,2080.0,1790,9885198,206069.6,cuMemcpyDtoDAsync_v2
14.6,2551903720,272,9381999.0,9382534.0,25020,10468593,832889.6,cuStreamSynchronize
3.0,529000097,32136,16461.3,7120.0,2730,487283,24307.5,cuGraphLaunch
0.5,91908579,877,104798.8,9160.0,1360,24146302,1387231.1,cuMemcpyHtoDAsync_v2
0.5,83937997,53,1583735.8,3200.0,1830,29415753,5712840.0,cuMemHostAlloc
0.2,35842468,493828,72.6,70.0,60,70301,114.6,cuStreamIsCapturing
0.1,20378321,145,140540.1,45510.0,28410,5228981,601969.4,cuModuleLoadFatBinary
0.1,15942101,145,109945.5,6820.0,4030,7468919,844740.2,cuModuleUnload
0.1,15917474,3252,4894.7,2280.0,280,893237,21620.0,cuLaunchHostFunc
0.1,10614459,12929,821.0,80.0,50,3918461,41420.9,cuCtxSetCurrent
0.1,9632915,5487,1755.6,610.0,160,1036748,16007.6,cuEventRecord
0.1,9435126,2700,3494.5,2070.0,1620,714566,13898.9,cudaLaunchKernel
0.1,9249594,5,1849918.8,1806954.0,1778394,2049237,113192.6,cudaGetDeviceProperties_v12000
0.0,5284342,54,97858.2,47270.5,18230,300803,89009.1,cuGraphInstantiateWithFlags
0.0,5263417,609,8642.7,7100.0,1570,32740,3950.3,cuMemcpyDtoHAsync_v2
0.0,5209899,4160,1252.4,770.0,210,213121,4964.7,cuStreamWaitEvent
0.0,2543162,11,231196.5,190762.0,101160,430874,110802.6,cuMemAlloc_v2
0.0,2001399,54,37062.9,17495.0,9920,94990,30129.3,cuGraphExecDestroy
0.0,1691163,903,1872.8,1430.0,100,132161,4562.5,cuEventCreate
0.0,1523206,1690,901.3,810.0,400,7210,501.4,cuGraphAddNode_v2
0.0,1159929,21,55234.7,6250.0,1040,279262,88017.8,cuStreamCreate
0.0,1098115,21,52291.2,51721.0,17270,102341,14941.1,cuMemGetInfo_v2
0.0,862467,32,26952.1,2165.0,1150,159552,44921.7,cudaStreamCreateWithFlags
0.0,833996,3,277998.7,11280.0,1260,821456,470674.5,cudaFree
0.0,590135,2,295067.5,295067.5,4330,585805,411164.9,cudaHostAlloc
0.0,513015,54,9500.3,4015.0,1700,28900,9259.3,cuGraphDestroy
0.0,429874,8,53734.3,1965.0,1240,347793,121250.3,cuStreamCreateWithPriority
0.0,229674,1303,176.3,140.0,50,3880,171.6,cuGetProcAddress_v2
0.0,206260,46,4483.9,3395.0,1730,26500,4244.1,cuMemFreeHost
0.0,197802,2,98901.0,98901.0,83511,114291,21764.7,cuModuleLoadData
0.0,191522,186,1029.7,770.0,420,20671,1641.0,cuGraphAddMemcpyNode
0.0,110082,1644,67.0,60.0,50,820,33.5,cuGraphNodeGetType
0.0,83471,4,20867.8,5175.0,1960,71161,33572.3,cudaMalloc
0.0,63620,17,3742.4,1670.0,1140,16020,4261.2,cuGraphExecKernelNodeSetParams_v2
0.0,60500,4,15125.0,13320.0,3090,30770,13974.5,cudaMemsetAsync
0.0,22760,54,421.5,315.0,160,1610,321.4,cuGraphCreate
0.0,18710,40,467.8,175.0,70,4260,739.0,cuTensorMapEncodeTiled
0.0,12320,4,3080.0,1640.0,1010,8030,3314.6,cuInit
0.0,7920,22,360.0,175.0,140,2170,571.3,cuOccupancyMaxActiveClusters
0.0,3370,2,1685.0,1685.0,1670,1700,21.2,cudaEventCreateWithFlags
0.0,1510,2,755.0,755.0,730,780,35.4,cuOccupancyAvailableDynamicSMemPerBlock
0.0,500,3,166.7,170.0,150,180,15.3,cuModuleGetLoadingMode

