Generating SQLite file /tmp/v015_nsys_cond16only_noflags.sqlite from /tmp/v015_nsys_cond16only_noflags.nsys-rep
Processing [/tmp/v015_nsys_cond16only_noflags.sqlite] with [/opt/nvidia/nsight-systems/2025.5.2/host-linux-x64/reports/cuda_gpu_kern_sum.py]... 
Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
20.4,3570562854,11340,314864.4,311873.0,309569,1032129,30327.3,loop_and_clamp_minimum_select_fusion
12.4,2169800804,270,8036299.3,7982101.0,7944770,9032494,175035.5,input_reduce_fusion_29
2.5,429618740,5760,74586.6,73248.0,68576,745697,14475.2,loop_select_fusion_1
2.3,404152076,5760,70165.3,68672.0,67936,598305,17904.6,loop_select_fusion_2
1.9,336274227,1350,249092.0,246112.0,244703,665185,32442.6,void pcrGtsvBatchSharedMemKernelLoop<double>(pcrGtsvBatchGlobalMemParams_t<T1>)
1.9,333588312,5400,61775.6,61697.0,51840,558304,12928.8,loop_or_select_fusion
1.9,332681273,427140,778.9,768.0,608,461376,1130.2,loop_add_fusion_7
1.5,268957568,270,996139.1,996305.5,990080,997761,1111.1,loop_add_divide_multiply_select_sqrt_subtract_fusion
1.4,250073762,3150,79388.5,78720.0,76096,792994,15430.1,loop_add_compare_divide_fusion
1.4,247931721,2700,91826.6,91136.0,89760,441473,12803.1,loop_add_fusion_25
1.2,208056383,270,770579.2,784832.5,711201,1302786,59519.5,loop_add_select_fusion
1.1,197561991,2700,73171.1,72800.0,70016,634977,12931.4,loop_slice_fusion_24
1.1,192172463,270,711749.9,711953.0,705728,713793,1154.1,loop_add_and_divide_maximum_multiply_select_sqrt_fusion
1.1,191327115,270,708618.9,703121.0,698976,770047,18063.8,loop_add_compare_maximum_select_transpose_fusion
1.1,190215013,270,704500.0,704609.5,701376,704897,626.4,loop_add_fusion_28
1.1,185662944,270,687640.5,663488.0,660384,1405665,98715.6,loop_reduce_window_fusion_3
0.9,164214019,174151,942.9,928.0,800,179424,429.9,loop_subtract_fusion
0.9,163172655,270,604343.2,581440.5,562241,1129666,85171.6,input_add_minimum_multiply_reduce_subtract_fusion
0.9,160540962,270,594596.2,575329.0,571840,1109602,77520.4,input_compare_power_reduce_select_transpose_fusion
0.9,159954003,4050,39494.8,39008.0,38592,592161,13260.9,loop_slice_fusion
0.9,158963361,270,588753.2,578352.5,557377,930465,56926.1,input_add_divide_maximum_power_sqrt_transpose_fusion
0.9,157668567,270,583957.7,584049.0,580961,585504,595.8,loop_compare_divide_maximum_transpose_fusion
0.9,157126677,270,581950.7,571632.5,559585,1102081,60018.7,input_concatenate_fusion_35
0.9,152001430,270,562968.3,553441.5,542881,613536,19270.4,input_add_divide_transpose_fusion_2
