Generating SQLite file /tmp/v015_nsys_cond16only_noflags.sqlite from /tmp/v015_nsys_cond16only_noflags.nsys-rep
Processing [/tmp/v015_nsys_cond16only_noflags.sqlite] with [/opt/nvidia/nsight-systems/2025.5.2/host-linux-x64/reports/nvtx_gpu_proj_sum.py]... 
Range,Style,Total Proj Time (ns),Total Range Time (ns),Range Instances,Proj Avg (ns),Proj Med (ns),Proj Min (ns),Proj Max (ns),Proj StdDev (ns),Total GPU Ops,Avg GPU Ops,Avg Range Lvl,Avg Num Child
TSL:Thunk:#hlo_op=while.1984#,PushPop,18407403707,18392498575,3,6135801235.7,6135295888.0,6133450041,6138657778,2640390.8,1534410,511470.0,1.0,28800.0
"TSL:XlaModule:#hlo_module=jit__run_forecast_operational_jit,program_id=337#",PushPop,12274210466,12280378379,2,6137105233.0,6137105233.0,6135416816,6138793650,2387782.2,1022944,511472.0,0.0,3.0
"TSL:XlaModule:#hlo_module=jit__run_forecast_operational_jit,program_id=335#",PushPop,6133650266,6143139853,1,6133650266.0,6133650266.0,6133650266,6133650266,0.0,511472,511472.0,0.0,3.0
"TSL:Thunk:#name=jit(_run_forecast_operational_jit)/while/body/closed_call/jit(step_mynn_pbl_column),hlo_op=while.1944#",PushPop,3841248755,93568004,270,14226847.2,14098738.0,14024125,15389902,278328.2,11340,42.0,2.0,42.0
TSL:Thunk:#hlo_op=command_buffer_398#,PushPop,2532426767,60478849,7560,334977.1,332032.0,329505,1031745,31571.2,7560,1.0,3.0,0.0
TSL:Thunk:#hlo_op=while.1983#,PushPop,2450211427,3010989693,270,9074857.1,9006555.5,8934019,9903655,184500.6,726300,2690.0,2.0,100.0
TSL:Thunk:#hlo_op=command_buffer_313#,PushPop,2187961318,21085621,180,12155340.7,12065419.5,12016332,13323387,245918.9,180,1.0,2.0,0.0
TSL:Thunk:#hlo_op=command_buffer_423#,PushPop,1274651995,30158517,3780,337209.5,333473.0,331168,1056449,32586.5,3780,1.0,3.0,0.0
TSL:Thunk:#hlo_op=command_buffer_17#,PushPop,1236735619,10899026,180,6870753.4,6835805.0,6727209,7552366,135332.3,180,1.0,2.0,0.0
TSL:Thunk:#hlo_op=while.1982#,PushPop,1221889715,8809792631,270,4525517.5,4492005.5,4460770,5208907,113158.1,363150,1345.0,2.0,50.0
TSL:Thunk:#hlo_op=command_buffer_338#,PushPop,1091739467,10487495,90,12130438.5,12071352.5,12008452,12944164,178592.3,90,1.0,2.0,0.0
TSL:Thunk:#hlo_op=command_buffer_1093#,PushPop,947158330,74237795,1800,526199.1,521697.0,516417,1213409,42493.5,1800,1.0,3.0,0.0
TSL:Thunk:#hlo_op=command_buffer_42#,PushPop,611647325,5498256,90,6796081.4,6772437.0,6721634,7079365,76266.6,90,1.0,2.0,0.0
TSL:Thunk:#hlo_op=command_buffer_761#,PushPop,472512366,47599222,900,525013.7,519553.0,515169,1238467,46427.5,900,1.0,3.0,0.0
TSL:Thunk:#hlo_op=command_buffer_1118#,PushPop,472358115,35420248,900,524842.3,519744.5,513344,1028929,39991.9,900,1.0,3.0,0.0
TSL:Thunk:#hlo_op=command_buffer_853#,PushPop,446789254,24388226,180,2482162.5,2458499.0,2437794,3012836,89364.8,180,1.0,2.0,0.0
TSL:Thunk:#hlo_op=command_buffer_449#,PushPop,370711510,15861114,180,2059508.4,2035330.5,2018916,2721124,78386.8,180,1.0,2.0,0.0
"TSL:Thunk:#name=jit(_run_forecast_operational_jit)/while/body/closed_call,hlo_op=while.1980#",PushPop,352169416,2387621676,270,1304331.2,1293714.0,1287233,1799202,57276.0,21600,80.0,2.0,80.0
TSL:Thunk:#hlo_op=command_buffer_545#,PushPop,352111510,17689259,180,1956175.1,1933171.0,1915810,2643939,88786.4,180,1.0,2.0,0.0
"TSL:Thunk:#name=jit(_run_forecast_operational_jit)/while/body/closed_call/while/body/closed_call,hlo_op=while.1835#",PushPop,351930611,1546315212,2700,130344.7,129280.0,128352,594592,14487.9,356400,132.0,3.0,132.0
TSL:Thunk:#hlo_op=command_buffer_1185#,PushPop,350802123,20918800,180,1948900.7,1932179.0,1908130,2273892,55379.0,180,1.0,2.0,0.0
