Generating SQLite file /tmp/v015_nsys_flat16_cbwhile.sqlite from /tmp/v015_nsys_flat16_cbwhile.nsys-rep
Processing [/tmp/v015_nsys_flat16_cbwhile.sqlite] with [/opt/nvidia/nsight-systems/2025.5.2/host-linux-x64/reports/cuda_api_sum.py]... 
Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
93.7,20179626611,1086,18581608.3,44215.5,4110,56800131,21647921.0,cuGraphLaunch
3.5,757627547,11089,68322.4,68891.0,1710,6050098,143601.6,cuMemcpyDtoHAsync_v2
0.6,118622165,5249,22599.0,2610.0,130,23271705,580708.1,cuMemcpyHtoDAsync_v2
0.4,81514691,981,83093.5,2800.0,1300,25630863,1232003.8,cuMemHostAlloc
0.4,78522175,891,88128.1,34821.0,13140,22887822,919525.6,cuModuleLoadFatBinary
0.2,47957140,22761,2107.0,1580.0,1360,3446267,22899.0,cuLaunchKernel
0.2,36189413,895,40435.1,7160.0,2691,11281540,509481.7,cuModuleUnload
0.2,34478801,7425,4643.6,1710.0,950,13079424,151863.0,cuMemsetD32Async
0.1,32026689,12648,2532.2,290.0,230,1476811,33307.7,cuStreamSynchronize
0.1,31881404,948,33630.2,9880.0,6560,1359891,118333.0,cuEventSynchronize
0.1,16272032,3252,5003.7,2190.0,300,525314,20544.0,cuLaunchHostFunc
0.1,12831651,12,1069304.3,104655.5,27530,3624628,1542012.8,cuGraphInstantiateWithFlags
0.1,12743069,3950,3226.1,2130.0,1410,1058669,17076.4,cuLaunchKernelEx
0.1,11824495,2700,4379.4,2200.0,1600,849807,16774.7,cudaLaunchKernel
0.1,11271062,7383,1526.6,860.0,150,219311,4832.0,cuEventRecord
0.1,11153541,81488,136.9,60.0,50,977867,4075.6,cuCtxSetCurrent
0.0,8888950,12,740745.8,34735.0,12150,4334284,1379599.5,cuGraphExecDestroy
0.0,8668398,5,1733679.6,1777404.0,1532432,1809945,114349.2,cudaGetDeviceProperties_v12000
0.0,7343703,2074,3540.8,1150.0,660,1662293,39728.4,cuMemAlloc_v2
0.0,4566195,4160,1097.6,770.0,200,19010,1103.8,cuStreamWaitEvent
0.0,4469690,4641,963.1,360.0,200,426273,6866.6,cudaGetFuncBySymbol_v11000
0.0,4414395,894,4937.8,3010.0,2080,30380,4058.4,cuMemcpyDtoDAsync_v2
0.0,3381822,2063,1639.3,1060.0,690,9650,1382.4,cuMemFree_v2
0.0,2782653,2596,1071.9,830.0,400,74361,1628.8,cuGraphAddNode_v2
0.0,2505130,3,835043.3,11750.0,830,2492550,1435453.3,cudaFree
0.0,2401566,2799,858.0,420.0,100,23590,1168.7,cuEventCreate
0.0,2334504,974,2396.8,1900.0,890,20870,1506.3,cuMemFreeHost
0.0,1017230,12,84769.2,5565.0,2991,336883,128910.0,cuGraphDestroy
0.0,959109,23,41700.4,44820.0,17240,51000,7834.2,cuMemGetInfo_v2
0.0,876129,21,41720.4,3990.0,950,260592,72568.4,cuStreamCreate
0.0,707176,32,22099.3,1500.0,1020,100431,36074.9,cudaStreamCreateWithFlags
0.0,592095,2344,252.6,210.0,60,2110,210.1,cuStreamIsCapturing
0.0,505204,2,252602.0,252602.0,3250,501954,352637.0,cudaHostAlloc
0.0,470714,4,117678.5,126926.0,82711,134151,23614.3,cuModuleLoadDataEx
0.0,417934,1896,220.4,130.0,80,1550,178.4,cuEventDestroy_v2
0.0,370842,346,1071.8,670.0,410,78480,4380.6,cuGraphAddMemcpyNode
0.0,242382,8,30297.8,1975.0,1260,159482,57793.1,cuStreamCreateWithPriority
0.0,217023,1303,166.6,140.0,50,3630,185.8,cuGetProcAddress_v2
0.0,180330,844,213.7,90.0,60,1600,314.4,cuTensorMapEncodeTiled
0.0,163333,2538,64.4,60.0,50,770,33.1,cuGraphNodeGetType
0.0,142872,2,71436.0,71436.0,60151,82721,15959.4,cuModuleLoadData
0.0,80300,4,20075.0,3310.0,2640,71040,33981.5,cudaMalloc
0.0,45101,4,11275.3,9640.0,2460,23361,10331.9,cudaMemsetAsync
0.0,31750,16,1984.4,1555.0,1140,8450,1750.4,cuGraphExecKernelNodeSetParams_v2
0.0,14320,12,1193.3,745.0,520,2980,854.9,cuGraphCreate
0.0,9720,26,373.8,130.0,60,2180,587.0,cuGraphConditionalHandleCreate
0.0,8001,4,2000.3,1490.5,1200,3820,1239.1,cuInit
0.0,7060,22,320.9,155.0,130,2250,510.4,cuOccupancyMaxActiveClusters
0.0,2190,2,1095.0,1095.0,1080,1110,21.2,cudaEventCreateWithFlags
0.0,1490,2,745.0,745.0,610,880,190.9,cuOccupancyAvailableDynamicSMemPerBlock
0.0,410,3,136.7,140.0,120,150,15.3,cuModuleGetLoadingMode

