Generating SQLite file /tmp/v015_nsys_flat16_cbwhile.sqlite from /tmp/v015_nsys_flat16_cbwhile.nsys-rep
Processing [/tmp/v015_nsys_flat16_cbwhile.sqlite] with [/opt/nvidia/nsight-systems/2025.5.2/host-linux-x64/reports/cuda_gpu_kern_sum.py]... 
Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
14.7,2169843819,270,8036458.6,7983383.5,7939425,8884103,160885.1,input_reduce_fusion_31
9.1,1335830180,4217,316772.6,312544.0,310079,850465,34322.9,loop_and_clamp_minimum_select_fusion
7.8,1146444271,270,4246089.9,4201715.0,4162880,5038529,129013.5,input_add_compare_divide_maximum_power_select_sqrt_transpose_fusion
4.0,591196037,18866,31336.6,31296.0,20672,35968,1378.4,"stream_executor::gpu::RedzoneAllocatorKernelImpl(unsigned char *, unsigned char, unsigned long, unsigned int *)"
2.8,416899129,270,1544070.8,1536865.5,1522113,2274020,60406.1,input_compare_reduce_select_subtract_fusion
2.8,408270943,278,1468600.5,1473233.5,1342946,1976866,91637.6,loop_add_and_divide_multiply_select_sqrt_fusion
2.3,337871998,1350,250275.6,246272.0,244736,853089,39663.4,void pcrGtsvBatchSharedMemKernelLoop<double>(pcrGtsvBatchGlobalMemParams_t<T1>)
1.8,268842063,1890,142244.5,141120.0,139552,640512,19349.6,loop_select_fusion_39
1.8,268038381,1890,141819.2,141280.0,139744,151040,1566.1,loop_select_fusion_40
1.8,265644245,270,983867.6,972192.5,966816,1504738,63982.3,input_add_and_divide_minimum_multiply_select_sqrt_transpose_fusion
1.6,234330851,1620,144648.7,144064.0,142464,150784,1524.4,loop_select_fusion_23
1.5,214158957,270,793181.3,792449.0,788832,812769,2987.6,input_select_transpose_fusion_1
1.4,210529674,282,746559.1,744961.0,669057,1025858,32916.4,loop_add_divide_power_select_subtract_fusion
1.3,196893812,270,729236.3,704609.0,698400,1441537,102800.7,loop_add_fusion_20
1.3,194619292,1350,144162.4,144096.0,142624,146016,463.4,loop_select_fusion_22
1.2,179046150,270,663133.9,663265.0,658048,663745,723.9,loop_reduce_window_fusion_3
1.1,159934962,270,592351.7,592513.0,588288,592961,719.7,loop_add_maximum_multiply_fusion
1.0,154447150,270,572026.5,571745.0,562465,588353,4402.3,input_concatenate_fusion_19
1.0,148524100,270,550089.3,546481.0,540736,1094241,43032.2,input_add_divide_select_transpose_fusion
0.9,132538898,270,490884.8,490880.0,485536,497473,2216.1,input_add_compare_multiply_reduce_fusion
0.9,126075629,2020,62413.7,61632.0,52384,538657,20796.3,loop_or_select_fusion
0.8,110773996,278,398467.6,398879.5,383680,401664,2292.2,loop_add_and_divide_select_subtract_fusion
0.7,107430972,270,397892.5,397953.0,395072,398880,561.9,input_broadcast_divide_multiply_power_select_transpose_fusion
0.7,105429300,270,390478.9,383552.0,379904,930145,54270.4,input_add_multiply_transpose_fusion_1
0.7,100869592,278,362840.3,348783.0,253440,873121,81145.8,loop_add_select_transpose_fusion
0.7,99747095,270,369433.7,347120.5,343584,742113,79120.4,loop_compare_select_fusion
0.7,99447589,270,368324.4,368432.5,362913,374272,2047.9,loop_reverse_select_fusion_1
0.6,93216149,270,345245.0,321360.0,317665,1019586,99474.5,input_add_transpose_fusion_1
0.6,92427242,1000,92427.2,91104.0,90016,778209,24021.4,loop_add_fusion_16
