Generating SQLite file /tmp/v015_nsys_flat16_cbwhile.sqlite from /tmp/v015_nsys_flat16_cbwhile.nsys-rep
Processing [/tmp/v015_nsys_flat16_cbwhile.sqlite] with [/opt/nvidia/nsight-systems/2025.5.2/host-linux-x64/reports/nvtx_gpu_proj_sum.py]... 
Range,Style,Total Proj Time (ns),Total Range Time (ns),Range Instances,Proj Avg (ns),Proj Med (ns),Proj Min (ns),Proj Max (ns),Proj StdDev (ns),Total GPU Ops,Avg GPU Ops,Avg Range Lvl,Avg Num Child
TSL:Thunk:#hlo_op=while.1800#,PushPop,20372632413,20307644869,3,6790877471.0,6897231773.0,6521962880,6953437760,234576365.4,5400,1800.0,1.0,1350.0
"TSL:XlaModule:#hlo_module=jit__run_forecast_operational_jit,program_id=1192#",PushPop,13419939294,13401891183,2,6709969647.0,6709969647.0,6522325473,6897613821,265368935.8,3604,1802.0,0.0,3.0
TSL:Thunk:#hlo_op=command_buffer_15#,PushPop,9044685296,3950467723,180,50248251.6,51186306.5,47923984,52717705,1614646.8,180,1.0,2.0,0.0
"TSL:XlaModule:#hlo_module=jit__run_forecast_operational_jit,program_id=335#",PushPop,6953876289,6958443014,1,6953876289.0,6953876289.0,6953876289,6953876289,0.0,1802,1802.0,0.0,3.0
TSL:Thunk:#hlo_op=command_buffer_41#,PushPop,4671700099,2071123134,90,51907778.9,51396168.0,50973476,54833479,983389.4,90,1.0,2.0,0.0
TSL:Thunk:#hlo_op=command_buffer_431#,PushPop,3951011771,9402424260,180,21950065.4,22681744.5,20263454,23982933,1185688.3,180,1.0,2.0,0.0
TSL:Thunk:#hlo_op=command_buffer_457#,PushPop,2069924523,4793804395,90,22999161.4,22732725.0,22618000,24342737,502465.5,90,1.0,2.0,0.0
"TSL:Thunk:#name=jit(_run_forecast_operational_jit)/while/body/closed_call/jit(step_mynn_pbl_column)/tridiagonal_solve,hlo_op=tridiagonal_solve.15#",PushPop,80192472,1652464,270,297009.2,291009.0,289120,698112,44795.2,540,2.0,2.0,0.0
"TSL:Thunk:#name=jit(_run_forecast_operational_jit)/while/body/closed_call/jit(step_mynn_pbl_column)/tridiagonal_solve,hlo_op=tridiagonal_solve.19#",PushPop,79923879,6955134,270,296014.4,290560.0,289088,726177,45959.7,540,2.0,2.0,0.0
"TSL:Thunk:#name=jit(_run_forecast_operational_jit)/while/body/closed_call/jit(step_mynn_pbl_column)/tridiagonal_solve,hlo_op=tridiagonal_solve.17#",PushPop,79839888,1618564,270,295703.3,290817.0,289055,704833,40826.9,540,2.0,2.0,0.0
"TSL:Thunk:#name=jit(_run_forecast_operational_jit)/while/body/closed_call/jit(step_mynn_pbl_column)/tridiagonal_solve,hlo_op=tridiagonal_solve.16#",PushPop,79564001,60541156,270,294681.5,290848.0,289217,897569,45604.7,540,2.0,2.0,0.0
"TSL:Thunk:#name=jit(_run_forecast_operational_jit)/while/body/closed_call/jit(step_mynn_pbl_column)/tridiagonal_solve,hlo_op=tridiagonal_solve.18#",PushPop,78569192,1651489,270,290997.0,291104.0,288769,291648,413.3,540,2.0,2.0,0.0
TSL:Thunk:#hlo_op=command_buffer_410#,PushPop,24300539,2760340,180,135003.0,134688.0,132000,142592,1659.7,180,1.0,2.0,0.0
TSL:Thunk:#hlo_op=command_buffer_421#,PushPop,13158824,1556432,180,73104.6,73088.0,72193,74272,338.7,180,1.0,2.0,0.0
TSL:Thunk:#hlo_op=command_buffer_436#,PushPop,12025613,1497196,90,133617.9,133600.5,131776,135904,746.0,90,1.0,2.0,0.0
TSL:XlaModule:#hlo_module=loop_add_and_divide_multiply_select_sqrt_fusion#,PushPop,11022994,5982378,8,1377874.3,1363922.5,1350434,1485635,43945.9,12,1.5,0.0,1.0
TSL:Thunk:#hlo_op=loop_add_and_divide_multiply_select_sqrt_fusion#,PushPop,10966898,61761,8,1370862.3,1351634.0,1350434,1485635,46705.0,8,1.0,1.0,0.0
TSL:XlaModule:#hlo_module=loop_add_divide_power_select_subtract_fusion#,PushPop,9566831,6779223,12,797235.9,681649.0,671361,1131138,177862.5,18,1.5,0.0,1.0
TSL:Thunk:#hlo_op=loop_add_divide_power_select_subtract_fusion#,PushPop,9379119,1336683,12,781593.3,675665.0,669057,1025858,161672.3,12,1.0,1.0,0.0
TSL:Thunk:#hlo_op=command_buffer_447#,PushPop,6623875,796865,90,73598.6,73632.0,72288,74656,393.3,90,1.0,2.0,0.0
"TSL:Thunk:#name=jit(_run_forecast_operational_jit)/while/body/closed_call,hlo_op=input_concatenate_fusion.27#",PushPop,3382020,918868,270,12526.0,12480.0,11744,14880,379.1,270,1.0,2.0,0.0
TSL:XlaModule:#hlo_module=loop_add_and_divide_select_subtract_fusion#,PushPop,3146564,1903616,8,393320.5,393584.0,384513,402208,7190.8,12,1.5,0.0,1.0
TSL:Thunk:#hlo_op=loop_add_and_divide_select_subtract_fusion#,PushPop,3088388,46880,8,386048.5,385792.5,383680,389952,2066.6,8,1.0,1.0,0.0
TSL:Thunk:#hlo_op=copy#,PushPop,2504479,4241999,704,3557.5,2848.0,2720,5824,982.9,704,1.0,1.0,0.0
TSL:XlaModule:#hlo_module=loop_add_divide_pad_fusion.1#,PushPop,2446148,1669194,8,305768.5,305488.5,298816,313984,4168.7,12,1.5,0.0,1.0
TSL:Thunk:#hlo_op=loop_add_divide_pad_fusion.1#,PushPop,2409380,47210,8,301172.5,299440.5,298528,305409,3069.2,8,1.0,1.0,0.0
TSL:XlaModule:#hlo_module=loop_compare_select_fusion#,PushPop,2210211,1382111,8,276276.4,273760.5,268993,288800,7967.1,12,1.5,0.0,1.0
