Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
53.9,14806756781,1006942,14704.7,2520.0,1370,7845492,144432.2,cuLaunchKernelEx
31.8,8749573291,493528,17728.6,3240.0,1800,10325092,197476.6,cuMemcpyDtoDAsync_v2
9.1,2503149863,6448,388205.6,290.0,230,11258500,1832160.9,cuStreamSynchronize
1.5,422080091,6297,67028.8,68131.0,1630,3081444,141437.8,cuMemcpyDtoHAsync_v2
1.4,381539228,32136,11872.6,4420.0,1790,3062985,38016.9,cuGraphLaunch
0.4,119456506,3866,30899.3,2940.0,190,24045761,680216.0,cuMemcpyHtoDAsync_v2
0.3,79615293,297,268065.0,4330.0,1420,25357291,2232147.1,cuMemHostAlloc
0.2,68229137,495384,137.7,110.0,60,6080068,9581.6,cuStreamIsCapturing
0.2,61723668,330,187041.4,43735.5,16090,21969085,1649843.4,cuModuleLoadFatBinary
0.2,61198880,330,185451.2,9300.0,2540,30323431,2032482.5,cuModuleUnload
0.1,34066114,244,139615.2,41540.0,6960,1051259,217352.9,cuEventSynchronize
0.1,32375116,12142,2666.4,1560.0,1350,3027144,47480.3,cuLaunchKernel
0.1,27910264,3252,8582.5,2190.0,270,2295409,82459.3,cuLaunchHostFunc
0.1,21856652,4227,5170.7,1670.0,900,11950405,183821.8,cuMemsetD32Async
0.1,18860793,2700,6985.5,3660.0,1650,1173380,24156.2,cudaLaunchKernel
0.0,12676263,54,234745.6,162711.0,24981,865027,223545.4,cuGraphInstantiateWithFlags
0.0,10645069,5975,1781.6,630.0,150,616095,13743.2,cuEventRecord
0.0,10386356,50487,205.7,60.0,50,2952503,13582.2,cuCtxSetCurrent
0.0,8647079,5,1729415.8,1800045.0,1375641,2003696,232472.1,cudaGetDeviceProperties_v12000
0.0,6509234,54,120541.4,51996.0,27930,465464,113414.1,cuGraphExecDestroy
0.0,6341122,1026,6180.4,790.0,660,1658013,63240.9,cuMemAlloc_v2
0.0,4770429,4160,1146.7,720.0,200,173551,3137.5,cuStreamWaitEvent
0.0,4446011,1015,4380.3,820.0,640,3013494,94554.8,cuMemFree_v2
0.0,3078194,32,96193.6,1660.0,1070,627455,199865.9,cudaStreamCreateWithFlags
0.0,2854073,3,951357.7,10960.0,1060,2842053,1637397.7,cudaFree
0.0,2436204,1690,1441.5,1090.0,200,17720,1366.6,cuGraphAddNode_v2
0.0,2175610,2611,833.2,230.0,200,418213,8826.1,cudaGetFuncBySymbol_v11000
0.0,1789471,1391,1286.5,880.0,110,151251,4378.3,cuEventCreate
0.0,1560211,54,28892.8,10175.0,3950,203562,36139.2,cuGraphDestroy
0.0,1202616,290,4147.0,3040.0,1080,44191,4412.0,cuMemFreeHost
0.0,1128542,23,49067.0,47050.0,17570,125631,20863.0,cuMemGetInfo_v2
0.0,939788,21,44751.8,4260.0,1030,254742,75106.8,cuStreamCreate
0.0,620215,2,310107.5,310107.5,4490,615725,432208.4,cudaHostAlloc
0.0,399673,4,99918.3,13180.0,2710,370603,180704.9,cudaMemsetAsync
0.0,265822,186,1429.2,830.0,210,21490,2023.2,cuGraphAddMemcpyNode
0.0,257402,8,32175.3,1870.0,1320,176441,63160.0,cuStreamCreateWithPriority
0.0,232671,1303,178.6,140.0,50,3520,173.9,cuGetProcAddress_v2
0.0,229592,2,114796.0,114796.0,67541,162051,66828.7,cuModuleLoadData
0.0,196482,54,3638.6,2785.0,440,17120,3568.4,cuGraphCreate
0.0,159960,1644,97.3,80.0,50,900,78.4,cuGraphNodeGetType
0.0,131073,488,268.6,155.0,80,1570,217.1,cuEventDestroy_v2
0.0,82170,4,20542.5,4490.0,1990,71200,33798.7,cudaMalloc
0.0,62851,17,3697.1,2470.0,1520,8961,2638.7,cuGraphExecKernelNodeSetParams_v2
0.0,45460,114,398.8,120.0,60,3580,678.7,cuTensorMapEncodeTiled
0.0,13390,4,3347.5,1655.0,1310,8770,3619.3,cuInit
0.0,7390,22,335.9,180.0,140,2160,511.3,cuOccupancyMaxActiveClusters
0.0,3080,2,1540.0,1540.0,1340,1740,282.8,cudaEventCreateWithFlags
0.0,1430,2,715.0,715.0,670,760,63.6,cuOccupancyAvailableDynamicSMemPerBlock
0.0,710,3,236.7,200.0,150,360,109.7,cuModuleGetLoadingMode
