Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
14.9,345376100,1350,255834.1,246144.0,244768,1517923,67341.8,void pcrGtsvBatchSharedMemKernelLoop<double>(pcrGtsvBatchGlobalMemParams_t<T1>)
14.3,331606959,5400,61408.7,61696.0,51840,377088,7405.3,loop_or_select_fusion
13.6,314309147,405000,776.1,768.0,704,285632,976.3,loop_add_fusion_7
13.2,305077148,9716,31399.5,31360.0,20672,35808,1131.4,"stream_executor::gpu::RedzoneAllocatorKernelImpl(unsigned char *, unsigned char, unsigned long, unsigned int *)"
7.2,166141163,174151,954.0,928.0,800,1202594,3194.6,loop_subtract_fusion
6.9,160170969,4050,39548.4,39136.0,38368,401632,11149.4,loop_slice_fusion
5.1,118653998,118833,998.5,992.0,736,22433,129.0,loop_multiply_fusion
3.2,74804814,59400,1259.3,1152.0,1056,193216,808.0,loop_select_fusion_9
3.1,71531808,71280,1003.5,992.0,928,286272,1073.7,loop_multiply_fusion_7
2.6,61025367,1350,45204.0,44416.0,43552,583520,18330.3,void pcrGtsvBatchFirstPass<double>(pcrGtsvBatchGlobalMemParams_t<T1>)
1.9,45012781,59400,757.8,768.0,704,3584,28.1,loop_add_fusion_11
1.6,36084398,23760,1518.7,1472.0,1280,260288,2616.3,loop_select_fusion_5
0.8,19309053,278,69457.0,69472.0,67296,73216,389.2,loop_divide_multiply_select_fusion_1
0.8,18877218,4050,4661.0,4544.0,4352,244512,3772.8,loop_reverse_fusion_1
0.6,13307583,4052,3284.2,3295.0,896,4191,66.8,input_concatenate_fusion
0.5,10871186,11610,936.4,928.0,896,2720,49.6,loop_subtract_fusion_8
0.4,9697360,270,35916.1,35904.0,35616,36159,97.4,input_reduce_fusion_22
0.4,8339533,8,1042441.6,1042161.5,1040994,1045761,1476.8,loop_add_divide_multiply_select_sqrt_subtract_fusion
0.3,7614246,5415,1406.1,1344.0,928,10752,260.6,loop_divide_fusion
0.3,7218925,16,451182.8,447216.5,195392,765601,263514.7,loop_add_maximum_multiply_fusion
0.3,6684845,2700,2475.9,2464.0,2431,7456,114.9,loop_reverse_fusion
0.3,6337797,270,23473.3,23504.0,22624,24544,386.8,input_concatenate_fusion_46
0.3,6243723,8,780465.4,780593.5,776609,783746,2346.3,loop_add_select_fusion
0.2,5323883,8,665485.4,686786.0,627393,691106,30987.8,loop_add_and_divide_maximum_multiply_select_sqrt_fusion
0.2,4654920,8,581865.0,581585.0,580801,584705,1209.8,loop_compare_divide_maximum_transpose_fusion
0.2,4529545,1620,2796.0,2464.0,2399,458880,11339.3,loop_reverse_fusion_4
0.2,3979814,776,5128.6,7680.0,992,8800,3266.3,"void stream_executor::gpu::xla_fp_comparison<double>(T1 *, T1 *, float, unsigned long, int *)"
0.2,3788808,270,14032.6,14016.0,13024,15296,380.7,input_concatenate_fusion_44
0.2,3634823,8,454352.9,443936.5,438913,481281,18071.4,loop_and_divide_select_transpose_fusion
0.1,2888678,8,361084.8,359393.0,357025,370080,4642.1,loop_add_compare_divide_select_subtract_transpose_fusion
0.1,2860133,8,357516.6,357664.5,356449,358817,865.1,loop_multiply_subtract_transpose_fusion
0.1,2634340,12,219528.3,196576.0,196224,266240,34058.1,loop_select_fusion_19
0.1,2494756,244,10224.4,8560.0,1280,241729,17827.5,"stream_executor::gpu::<unnamed>::DelayKernel(volatile stream_executor::GpuSemaphoreState *, stream_executor::GpuSemaphoreState)"
0.1,2297736,1352,1699.5,832.0,768,11744,1287.9,"stream_executor::gpu::RepeatBufferKernelImpl(char *, long, long)"
0.1,2095907,270,7762.6,7648.0,7008,8800,346.1,input_concatenate_fusion_59
0.1,2090884,8,261360.5,261009.0,260576,262944,872.6,loop_multiply_subtract_transpose_fusion_2
0.1,2089601,270,7739.3,7712.0,7295,9376,259.2,input_concatenate_fusion_57
0.1,2062307,2700,763.8,768.0,736,928,22.0,wrapped_slice_6
0.1,1930884,20,96544.2,132368.5,6592,207681,76876.9,loop_divide_multiply_select_fusion
0.1,1920614,270,7113.4,6943.0,6719,13184,830.1,input_transpose_fusion_51
0.1,1818506,270,6735.2,6687.0,6399,7295,192.3,input_concatenate_fusion_60
0.1,1703747,8,212968.4,212816.0,212032,214593,822.6,loop_add_divide_pad_transpose_fusion
0.1,1680355,8,210044.4,210817.0,202848,211968,2984.7,loop_add_divide_pad_transpose_fusion_1
0.1,1460715,270,5410.1,5375.0,5279,9536,265.4,input_transpose_fusion_25
0.1,1379777,540,2555.1,2560.0,2496,2720,42.7,wrapped_reverse_2
0.1,1363809,450,3030.7,2528.0,2400,212897,9915.8,loop_divide_fusion_44
0.1,1243100,180,6906.1,6848.0,6527,7680,240.3,input_concatenate_fusion_64
0.1,1239095,1620,764.9,768.0,736,1248,26.6,wrapped_slice_1
0.1,1187233,8,148404.1,145488.0,143072,160928,6532.9,loop_add_select_fusion_1
0.1,1174114,450,2609.1,2592.0,2400,3104,130.2,loop_divide_fusion_18
0.1,1165632,450,2590.3,2560.0,2400,2944,114.1,loop_divide_fusion_20
0.1,1164673,450,2588.2,2560.0,2400,3008,93.6,loop_divide_fusion_14
0.1,1162914,450,2584.3,2560.0,2400,2944,99.2,loop_divide_fusion_26
0.1,1162785,450,2584.0,2560.0,2464,2944,89.0,loop_divide_fusion_13
0.1,1162497,450,2583.3,2560.0,2432,2880,93.4,loop_divide_fusion_25
0.1,1160193,450,2578.2,2560.0,2400,2944,95.9,loop_divide_fusion_33
0.1,1159873,450,2577.5,2560.0,2368,3008,107.2,loop_divide_fusion_45
0.1,1159809,450,2577.4,2528.0,2432,2976,108.1,loop_divide_fusion_21
0.1,1159777,450,2577.3,2528.0,2432,3008,107.2,loop_divide_fusion_22
0.1,1158689,450,2574.9,2560.0,2400,2944,106.3,loop_divide_fusion_34
0.0,1157569,450,2572.4,2560.0,2400,3040,99.7,loop_divide_fusion_16
0.0,1157377,450,2571.9,2560.0,2400,2944,93.8,loop_divide_fusion_41
0.0,1156676,450,2570.4,2528.0,2432,4320,130.1,loop_divide_fusion_36
0.0,1154402,450,2565.3,2528.0,2432,4032,118.0,loop_divide_fusion_17
0.0,1153184,450,2562.6,2528.0,2400,2912,95.0,loop_divide_fusion_24
0.0,1151648,450,2559.2,2528.0,2304,2976,107.3,loop_divide_fusion_9
0.0,1149986,450,2555.5,2528.0,2368,4096,145.6,loop_divide_fusion_19
0.0,1149570,450,2554.6,2528.0,2432,2912,101.5,loop_divide_fusion_29
0.0,1149442,450,2554.3,2528.0,2368,2976,101.6,loop_divide_fusion_46
0.0,1148609,450,2552.5,2528.0,2400,4352,125.2,loop_divide_fusion_8
0.0,1147653,450,2550.3,2528.0,2368,2977,105.4,loop_divide_fusion_32
0.0,1147040,450,2549.0,2528.0,2368,2880,97.7,loop_divide_fusion_42
0.0,1146593,450,2548.0,2528.0,2368,2912,93.3,loop_divide_fusion_37
0.0,1146340,450,2547.4,2496.0,2400,3136,109.2,loop_divide_fusion_10
0.0,1143649,450,2541.4,2528.0,2432,3008,79.8,loop_divide_fusion_28
0.0,1143555,450,2541.2,2528.0,2400,2848,87.9,loop_divide_fusion_30
0.0,1141249,450,2536.1,2496.0,2368,3424,116.9,loop_divide_fusion_43
0.0,1140643,450,2534.8,2496.0,2400,2880,88.9,loop_divide_fusion_23
0.0,1140002,450,2533.3,2496.0,2400,3072,105.3,loop_divide_fusion_40
0.0,1139748,450,2532.8,2496.0,2400,2880,88.0,loop_divide_fusion_12
0.0,1138466,450,2529.9,2528.0,2368,2912,103.1,loop_divide_fusion_38
0.0,1137440,450,2527.6,2528.0,2336,2944,107.9,loop_divide_fusion_27
0.0,1135493,450,2523.3,2496.0,2368,2848,92.2,loop_divide_fusion_48
0.0,1135235,450,2522.7,2496.0,2336,2912,109.9,loop_divide_fusion_35
0.0,1123841,450,2497.4,2464.0,2336,2944,106.8,loop_divide_fusion_47
0.0,1122209,450,2493.8,2464.0,2368,2880,104.4,loop_divide_fusion_31
0.0,1120193,450,2489.3,2464.0,2368,2848,86.7,loop_divide_fusion_11
0.0,1119937,450,2488.7,2464.0,2336,3008,89.3,loop_divide_fusion_15
0.0,1115362,450,2478.6,2464.0,2304,2816,96.2,loop_divide_fusion_39
0.0,1097761,8,137220.1,135728.0,135040,140385,2449.5,loop_transpose_fusion_1
0.0,1060291,12,88357.6,79616.0,79329,106273,13066.3,loop_power_fusion_4
0.0,1003074,8,125384.3,120880.5,118560,135488,7968.1,loop_transpose_fusion_11
0.0,1001251,8,125156.4,125136.0,124960,125377,158.3,loop_add_pad_fusion
0.0,970371,8,121296.4,120528.5,120320,123424,1359.4,loop_multiply_subtract_transpose_fusion_1
0.0,928225,180,5156.8,5104.5,4704,5568,177.6,wrapped_transpose_15
0.0,889842,450,1977.4,1967.5,1856,2272,61.9,loop_dynamic_update_slice_fusion_306
0.0,886108,270,3281.9,3263.0,3103,3584,75.8,loop_reverse_fusion_5
0.0,713737,450,1586.1,1631.0,1440,1920,104.0,loop_dynamic_update_slice_fusion_219
0.0,683744,270,2532.4,2528.0,2464,2592,20.1,wrapped_reverse
0.0,664424,450,1476.5,1472.0,1440,1664,29.6,loop_dynamic_update_slice_fusion_220
0.0,642161,90,7135.1,7168.0,6560,7808,289.1,input_concatenate_fusion_62
0.0,616610,8,77076.3,75760.5,75296,81889,2654.4,loop_pad_transpose_fusion_1
0.0,601093,270,2226.3,2208.0,2176,2656,45.6,loop_divide_fusion_1
