Range,Style,Total Proj Time (ns),Total Range Time (ns),Range Instances,Proj Avg (ns),Proj Med (ns),Proj Min (ns),Proj Max (ns),Proj StdDev (ns),Total GPU Ops,Avg GPU Ops,Avg Range Lvl,Avg Num Child
TSL:Thunk:#hlo_op=while.1984#,PushPop,28963101380,28977297874,3,9654367126.7,9653989153.0,9559102786,9750009441,95453888.8,1502280,500760.0,1.0,27000.0
"TSL:XlaModule:#hlo_module=jit__run_forecast_operational_jit,program_id=553#",PushPop,19403998594,19461239309,2,9701999297.0,9701999297.0,9653989153,9750009441,67896596.8,1001520,500760.0,0.0,1.0
"TSL:XlaModule:#hlo_module=jit__run_forecast_operational_jit,program_id=335#",PushPop,9559102786,9589069694,1,9559102786.0,9559102786.0,9559102786,9559102786,0.0,500760,500760.0,0.0,1.0
TSL:Thunk:#hlo_op=while.1983#,PushPop,2587815580,3550398614,270,9584502.1,8687184.0,8306696,30063141,2403649.3,720900,2670.0,2.0,80.0
TSL:Thunk:#hlo_op=while.1982#,PushPop,1076691015,18902160775,270,3987744.5,3885522.0,3852547,7361361,347038.1,360450,1335.0,2.0,40.0
"TSL:Thunk:#name=jit(_run_forecast_operational_jit)/while/body/closed_call/while/body/closed_call,hlo_op=while.1838#",PushPop,574169129,1612615980,2700,212655.2,123681.0,122784,3539241,259327.0,348300,129.0,3.0,129.0
"TSL:Thunk:#name=jit(_run_forecast_operational_jit)/while/body/closed_call/while/body/closed_call,hlo_op=while.1835#",PushPop,410428840,1731793838,2700,152010.7,128929.0,128032,6497103,229942.4,356400,132.0,3.0,132.0
"TSL:Thunk:#name=jit(_run_forecast_operational_jit)/while/body/closed_call,hlo_op=while.1980#",PushPop,350358216,1621071277,270,1297623.0,1293698.0,1287200,1619874,32711.1,21600,80.0,2.0,80.0
"TSL:Thunk:#name=jit(_run_forecast_operational_jit)/while/body/closed_call/while/body/closed_call,hlo_op=loop_or_select_fusion#",PushPop,331606959,35370612,5400,61408.7,61696.0,51840,377088,7405.3,5400,1.0,3.0,0.0
"TSL:Thunk:#name=jit(_run_forecast_operational_jit)/while/body/closed_call/while/body/closed_call,hlo_op=while.1769#",PushPop,179621163,818534382,1350,133052.7,123040.0,121728,3543400,124228.4,174150,129.0,3.0,129.0
"TSL:Thunk:#name=jit(_run_forecast_operational_jit)/while/body/closed_call/while/body/closed_call,hlo_op=while.1766#",PushPop,176636487,17936331503,1350,130841.8,127904.0,126976,1109314,33091.0,178200,132.0,3.0,132.0
"TSL:Thunk:#name=jit(_run_forecast_operational_jit)/while/body/closed_call/while/body/closed_call,hlo_op=loop_multiply_fusion.6#",PushPop,119067752,433682289,118800,1002.3,992.0,928,22433,127.5,118800,1.0,4.0,0.0
"TSL:Thunk:#name=jit(_run_forecast_operational_jit)/while/body/closed_call/while/body/closed_call,hlo_op=loop_subtract_fusion.7#",PushPop,111214978,417901790,116100,957.9,928.0,896,1202594,3578.8,116100,1.0,4.0,0.0
"TSL:Thunk:#name=jit(_run_forecast_operational_jit)/while/body/closed_call/while/body/closed_call,hlo_op=loop_slice_fusion.23#",PushPop,106189827,16435684,2700,39329.6,39104.0,38368,389121,8139.4,2700,1.0,3.0,0.0
"TSL:Thunk:#name=jit(_run_forecast_operational_jit)/while/body/closed_call/while/body/closed_call,hlo_op=loop_add_fusion.19#",PushPop,93170667,594263724,118800,784.3,768.0,736,272256,791.3,118800,1.0,4.0,0.0
"TSL:Thunk:#name=jit(_run_forecast_operational_jit)/while/body/closed_call/while/body/closed_call,hlo_op=loop_dynamic_update_slice_fusion.66#",PushPop,93069558,592147001,118800,783.4,768.0,736,321152,1105.3,118800,1.0,4.0,0.0
"TSL:Thunk:#name=jit(_run_forecast_operational_jit)/while/body/closed_call/while/body/closed_call,hlo_op=loop_dynamic_update_slice_fusion.68#",PushPop,92547658,658856395,116100,797.1,800.0,736,297761,1204.4,116100,1.0,4.0,0.0
"TSL:Thunk:#name=jit(_run_forecast_operational_jit)/while/body/closed_call/while/body/closed_call,hlo_op=loop_add_fusion.21#",PushPop,90319683,425717811,116100,777.9,768.0,736,273664,1143.0,116100,1.0,4.0,0.0
"TSL:Thunk:#name=jit(_run_forecast_operational_jit)/while/body/closed_call/jit(step_mynn_pbl_column)/tridiagonal_solve,hlo_op=tridiagonal_solve.19#",PushPop,86974301,13759101,270,322127.0,290369.0,288960,1562116,126680.9,540,2.0,2.0,0.0
"TSL:Thunk:#name=jit(_run_forecast_operational_jit)/while/body/closed_call/jit(step_mynn_pbl_column)/tridiagonal_solve,hlo_op=tridiagonal_solve.15#",PushPop,82406162,4667742,270,305208.0,290593.0,288703,832352,73731.3,540,2.0,2.0,0.0
"TSL:Thunk:#name=jit(_run_forecast_operational_jit)/while/body/closed_call/jit(step_mynn_pbl_column)/tridiagonal_solve,hlo_op=tridiagonal_solve.16#",PushPop,79613091,2866055,270,294863.3,291233.0,289664,704258,35369.9,540,2.0,2.0,0.0
"TSL:Thunk:#name=jit(_run_forecast_operational_jit)/while/body/closed_call/jit(step_mynn_pbl_column)/tridiagonal_solve,hlo_op=tridiagonal_solve.17#",PushPop,78935603,3588428,270,292354.1,290976.0,288928,698273,24798.9,540,2.0,2.0,0.0
"TSL:Thunk:#name=jit(_run_forecast_operational_jit)/while/body/closed_call/jit(step_mynn_pbl_column)/tridiagonal_solve,hlo_op=tridiagonal_solve.18#",PushPop,78831063,84787780,270,291966.9,290911.0,289183,585025,17906.1,540,2.0,2.0,0.0
"TSL:Thunk:#name=jit(_run_forecast_operational_jit)/while/body/closed_call/while/body/closed_call,hlo_op=loop_multiply_fusion#",PushPop,59311739,4849234427,59400,998.5,992.0,928,286272,1175.8,59400,1.0,4.0,0.0
"TSL:Thunk:#name=jit(_run_forecast_operational_jit)/while/body/closed_call/while/body/closed_call,hlo_op=loop_subtract_fusion#",PushPop,54925385,207772662,58050,946.2,928.0,896,461473,2236.4,58050,1.0,4.0,0.0
"TSL:Thunk:#name=jit(_run_forecast_operational_jit)/while/body/closed_call/while/body/closed_call,hlo_op=loop_slice_fusion#",PushPop,53981142,13346481,1350,39986.0,39264.0,38624,401632,15500.7,1350,1.0,3.0,0.0
