Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
74.8,23892087917,2083154,11469.2,1780.0,1330,19024822,237392.6,cuLaunchKernelEx
11.2,3572671070,488922,7307.2,2240.0,1780,3183556,50064.4,cuMemcpyDtoDAsync_v2
8.8,2799532162,4438,630809.4,280.0,230,12510410,2478870.2,cuStreamSynchronize
2.9,926597574,45636,20304.1,7750.0,1770,1391061,31120.8,cuGraphLaunch
0.9,275367982,4295,64113.6,67851.0,1950,3068504,142888.7,cuMemcpyDtoHAsync_v2
0.3,107097865,2681,39947.0,3020.0,190,23230885,808087.6,cuMemcpyHtoDAsync_v2
0.3,80995589,295,274561.3,3020.0,1400,27115976,2339443.6,cuMemHostAlloc
0.2,57471779,329,174686.3,51031.0,13100,19582086,1347467.6,cuModuleLoadFatBinary
0.1,40473214,329,123018.9,8170.0,2600,20746055,1322608.8,cuModuleUnload
0.1,36872752,490256,75.2,70.0,60,16390,69.3,cuStreamIsCapturing
0.1,21234349,2702,7858.8,1670.0,940,11081668,220905.1,cuMemsetD32Async
0.1,18084813,7888,2292.7,1570.0,1350,3011534,33948.1,cuLaunchKernel
0.1,17283301,240,72013.8,25610.0,6570,3007504,214019.8,cuEventSynchronize
0.0,14688246,2700,5440.1,2310.0,1590,980808,19624.2,cudaLaunchKernel
0.0,14163093,3252,4355.2,2340.0,280,1038628,21241.1,cuLaunchHostFunc
0.0,13077444,37361,350.0,70.0,50,995768,13269.1,cuCtxSetCurrent
0.0,9565220,72,132850.3,47195.0,22050,1574042,208201.3,cuGraphInstantiateWithFlags
0.0,9441226,5967,1582.2,630.0,150,275702,8011.4,cuEventRecord
0.0,8821051,5,1764210.2,1763404.0,1743784,1782744,16883.1,cudaGetDeviceProperties_v12000
0.0,8153145,1672,4876.3,240.0,210,3689989,116443.6,cudaGetFuncBySymbol_v11000
0.0,5197252,4160,1249.3,670.0,200,318732,7490.4,cuStreamWaitEvent
0.0,4718044,681,6928.1,950.0,670,1630873,67791.1,cuMemAlloc_v2
0.0,3948298,72,54837.5,24745.0,15780,244612,54672.7,cuGraphExecDestroy
0.0,2091377,3,697125.7,10540.0,1010,2079827,1197464.0,cudaFree
0.0,2002684,1383,1448.1,950.0,110,70611,3404.0,cuEventCreate
0.0,1683579,2221,758.0,570.0,190,21460,884.7,cuGraphAddNode_v2
0.0,1040486,23,45238.5,47350.0,17580,54900,8104.7,cuMemGetInfo_v2
0.0,978058,21,46574.2,4920.0,1120,280092,80953.6,cuStreamCreate
0.0,976041,72,13556.1,4565.0,2050,68471,16504.0,cuGraphDestroy
0.0,971509,670,1450.0,850.0,680,18390,1509.8,cuMemFree_v2
0.0,855982,288,2972.2,2310.0,1050,21071,2067.1,cuMemFreeHost
0.0,774256,2,387128.0,387128.0,4110,770146,541669.3,cudaHostAlloc
0.0,757087,32,23659.0,1465.0,960,117670,39171.2,cudaStreamCreateWithFlags
0.0,479892,866,554.1,110.0,60,2900,633.5,cuTensorMapEncodeTiled
0.0,391944,4,97986.0,11195.5,2760,366793,179361.2,cudaMemsetAsync
0.0,302582,2,151291.0,151291.0,135471,167111,22372.9,cuModuleLoadData
0.0,267113,8,33389.1,1850.0,1090,183571,65692.4,cuStreamCreateWithPriority
0.0,220241,1303,169.0,140.0,50,4230,173.4,cuGetProcAddress_v2
0.0,140932,2151,65.5,60.0,50,760,38.6,cuGraphNodeGetType
0.0,135302,193,701.0,520.0,220,6541,636.8,cuGraphAddMemcpyNode
0.0,116070,480,241.8,140.0,80,1330,195.0,cuEventDestroy_v2
0.0,108120,72,1501.7,710.0,380,6120,1396.0,cuGraphCreate
0.0,84330,4,21082.5,4880.0,2050,72520,34320.4,cudaMalloc
0.0,21650,13,1665.4,1140.0,720,7280,1729.2,cuGraphExecKernelNodeSetParams_v2
0.0,10460,4,2615.0,1565.0,1450,5880,2177.7,cuInit
0.0,7550,22,343.2,165.0,140,2160,509.4,cuOccupancyMaxActiveClusters
0.0,4090,2,2045.0,2045.0,1130,2960,1294.0,cudaEventCreateWithFlags
0.0,1480,2,740.0,740.0,720,760,28.3,cuOccupancyAvailableDynamicSMemPerBlock
0.0,570,3,190.0,220.0,120,230,60.8,cuModuleGetLoadingMode
