Range,Style,Total Proj Time (ns),Total Range Time (ns),Range Instances,Proj Avg (ns),Proj Med (ns),Proj Min (ns),Proj Max (ns),Proj StdDev (ns),Total GPU Ops,Avg GPU Ops,Avg Range Lvl,Avg Num Child
TSL:Thunk:#hlo_op=while.1992#,PushPop,33211155725,33244558539,3,11070385241.7,11758626615.0,9659313738,11793215372,1222146139.7,2573910,857970.0,1.0,10350.0
"TSL:XlaModule:#hlo_module=jit__run_forecast_operational_jit,program_id=594#",PushPop,23551841987,23596984087,2,11775920993.5,11775920993.5,11758626615,11793215372,24457944.6,1715940,857970.0,0.0,1.0
"TSL:Thunk:#name=jit(_run_forecast_operational_jit)/while/body/closed_call/jit(step_mynn_pbl_column),hlo_op=while.1952#",PushPop,13814400877,14457855913,270,51164447.7,53588995.0,43599059,57452187,4831440.3,1134000,4200.0,2.0,42.0
"TSL:Thunk:#name=jit(_run_forecast_operational_jit)/while/body/closed_call/jit(step_mynn_pbl_column)/vmap(vmap())/while/body/closed_call,hlo_op=while.1#",PushPop,12998697082,13751168978,11340,1146269.6,952482.0,945475,2934376,393303.5,1134000,100.0,3.0,100.0
"TSL:Thunk:#name=jit(_run_forecast_operational_jit)/while/body/closed_call/jit(step_mynn_pbl_column)/vmap(vmap())/while/body/closed_call/while/body/closed_call,hlo_op=loop_multiply_fusion.1#",PushPop,12264806285,5077320281,567000,21631.1,18176.0,17951,2000260,58740.0,567000,1.0,4.0,0.0
"TSL:XlaModule:#hlo_module=jit__run_forecast_operational_jit,program_id=335#",PushPop,9659313738,9692398170,1,9659313738.0,9659313738.0,9659313738,9659313738,0.0,857970,857970.0,0.0,1.0
TSL:Thunk:#hlo_op=while.1991#,PushPop,2628199786,3723299992,270,9734073.3,9680116.5,8168749,12230731,1193344.2,712800,2640.0,2.0,50.0
TSL:Thunk:#hlo_op=while.1990#,PushPop,1240934011,5347962131,270,4596051.9,4185702.5,3782595,6747726,837280.1,356400,1320.0,2.0,25.0
"TSL:Thunk:#name=jit(_run_forecast_operational_jit)/while/body/closed_call/jit(step_mynn_pbl_column)/vmap(vmap())/while/body/closed_call,hlo_op=loop_add_fusion.5#",PushPop,594935712,8461639404,567000,1049.3,768.0,704,1579747,15044.8,567000,1.0,4.0,0.0
"TSL:Thunk:#name=jit(_run_forecast_operational_jit)/while/body/closed_call,hlo_op=while.1988#",PushPop,407881480,4640003492,270,1510672.1,1294497.0,1287553,2873319,403403.1,21600,80.0,2.0,80.0
"TSL:Thunk:#name=jit(_run_forecast_operational_jit)/while/body/closed_call/while/body/closed_call,hlo_op=while.1843#",PushPop,394024217,1030115379,2700,145934.9,127840.0,126977,1547651,128802.6,356400,132.0,3.0,132.0
"TSL:Thunk:#name=jit(_run_forecast_operational_jit)/while/body/closed_call/while/body/closed_call,hlo_op=loop_or_select_fusion#",PushPop,387953172,17657175,5400,71843.2,61728.0,52064,1626308,101046.9,5400,1.0,3.0,0.0
"TSL:Thunk:#name=jit(_run_forecast_operational_jit)/while/body/closed_call/while/body/closed_call,hlo_op=while.1846#",PushPop,374633415,2612474046,2700,138753.1,123328.0,122176,1621572,114474.1,348300,129.0,3.0,129.0
"TSL:Thunk:#name=jit(_run_forecast_operational_jit)/while/body/closed_call/while/body/closed_call,hlo_op=while.1774#",PushPop,219469252,1456000545,1350,162569.8,129312.0,128672,1508705,178400.2,178200,132.0,3.0,132.0
"TSL:Thunk:#name=jit(_run_forecast_operational_jit)/while/body/closed_call/while/body/closed_call,hlo_op=while.1777#",PushPop,188227532,3812847568,1350,139427.8,124160.0,122784,2105729,123561.2,174150,129.0,3.0,129.0
