timestamp, memory.used [MiB], memory.free [MiB], utilization.gpu [%]
2026/05/28 16:52:47.541, 2303 MiB, 29809 MiB, 0 %
2026/05/28 16:52:47.744, 2303 MiB, 29809 MiB, 0 %
2026/05/28 16:52:47.944, 2303 MiB, 29809 MiB, 0 %
2026/05/28 16:52:48.145, 2303 MiB, 29809 MiB, 0 %
2026/05/28 16:52:48.345, 2303 MiB, 29809 MiB, 0 %
2026/05/28 16:52:48.545, 2303 MiB, 29809 MiB, 0 %
2026/05/28 16:52:48.745, 2303 MiB, 29809 MiB, 0 %
2026/05/28 16:52:48.945, 2303 MiB, 29809 MiB, 0 %
2026/05/28 16:52:49.145, 2303 MiB, 29809 MiB, 0 %
2026/05/28 16:52:49.345, 2303 MiB, 29809 MiB, 0 %
2026/05/28 16:52:49.545, 2303 MiB, 29809 MiB, 0 %
2026/05/28 16:52:49.745, 2303 MiB, 29809 MiB, 0 %
2026/05/28 16:52:49.946, 2303 MiB, 29809 MiB, 0 %
2026/05/28 16:52:50.146, 2303 MiB, 29809 MiB, 0 %
2026/05/28 16:52:50.346, 2303 MiB, 29809 MiB, 0 %
2026/05/28 16:52:50.546, 2303 MiB, 29809 MiB, 0 %
2026/05/28 16:52:50.746, 2303 MiB, 29809 MiB, 0 %
2026/05/28 16:52:50.946, 2303 MiB, 29809 MiB, 0 %
2026/05/28 16:52:51.146, 2303 MiB, 29809 MiB, 0 %
2026/05/28 16:52:51.346, 2303 MiB, 29809 MiB, 0 %
2026/05/28 16:52:51.546, 2303 MiB, 29809 MiB, 0 %
2026/05/28 16:52:51.746, 2303 MiB, 29809 MiB, 0 %
2026/05/28 16:52:51.946, 2303 MiB, 29809 MiB, 0 %
2026/05/28 16:52:52.147, 2303 MiB, 29809 MiB, 0 %
2026/05/28 16:52:52.347, 2303 MiB, 29809 MiB, 0 %
2026/05/28 16:52:52.547, 2303 MiB, 29809 MiB, 0 %
2026/05/28 16:52:52.747, 2303 MiB, 29809 MiB, 0 %
2026/05/28 16:52:52.947, 2303 MiB, 29809 MiB, 0 %
2026/05/28 16:52:53.147, 2303 MiB, 29809 MiB, 0 %
2026/05/28 16:52:53.347, 2320 MiB, 29792 MiB, 0 %
2026/05/28 16:52:53.548, 2842 MiB, 29270 MiB, 2 %
2026/05/28 16:52:53.748, 2303 MiB, 29809 MiB, 2 %
2026/05/28 16:52:53.948, 2303 MiB, 29809 MiB, 2 %
2026/05/28 16:52:54.148, 2303 MiB, 29809 MiB, 0 %
2026/05/28 16:52:54.348, 2303 MiB, 29809 MiB, 0 %
2026/05/28 16:52:54.549, 2303 MiB, 29809 MiB, 0 %
2026/05/28 16:52:54.749, 2303 MiB, 29809 MiB, 0 %
2026/05/28 16:52:54.949, 2303 MiB, 29809 MiB, 0 %
2026/05/28 16:52:55.149, 2303 MiB, 29809 MiB, 0 %
2026/05/28 16:52:55.349, 2303 MiB, 29809 MiB, 0 %
2026/05/28 16:52:55.549, 2303 MiB, 29809 MiB, 0 %
2026/05/28 16:52:55.749, 2303 MiB, 29809 MiB, 0 %
2026/05/28 16:52:55.949, 2303 MiB, 29809 MiB, 0 %
2026/05/28 16:52:56.149, 2303 MiB, 29809 MiB, 0 %
2026/05/28 16:52:56.349, 2303 MiB, 29809 MiB, 0 %
2026/05/28 16:52:56.550, 2303 MiB, 29809 MiB, 0 %
2026/05/28 16:52:56.750, 2303 MiB, 29809 MiB, 0 %
2026/05/28 16:52:56.950, 2303 MiB, 29809 MiB, 0 %
2026/05/28 16:52:57.150, 2303 MiB, 29809 MiB, 0 %
2026/05/28 16:52:57.350, 2303 MiB, 29809 MiB, 0 %
2026/05/28 16:52:57.550, 2303 MiB, 29809 MiB, 0 %
2026/05/28 16:52:57.750, 2303 MiB, 29809 MiB, 0 %
2026/05/28 16:52:57.950, 2303 MiB, 29809 MiB, 0 %
2026/05/28 16:52:58.150, 2303 MiB, 29809 MiB, 0 %
2026/05/28 16:52:58.351, 2303 MiB, 29809 MiB, 0 %
2026/05/28 16:52:58.551, 2303 MiB, 29809 MiB, 0 %
2026/05/28 16:52:58.751, 2303 MiB, 29809 MiB, 0 %
2026/05/28 16:52:58.951, 2303 MiB, 29809 MiB, 0 %
2026/05/28 16:52:59.151, 2303 MiB, 29809 MiB, 0 %
2026/05/28 16:52:59.351, 2303 MiB, 29809 MiB, 0 %
2026/05/28 16:52:59.551, 2303 MiB, 29809 MiB, 0 %
2026/05/28 16:52:59.751, 2303 MiB, 29809 MiB, 0 %
2026/05/28 16:52:59.951, 2303 MiB, 29809 MiB, 0 %
2026/05/28 16:53:00.152, 2303 MiB, 29809 MiB, 0 %
2026/05/28 16:53:00.352, 2303 MiB, 29809 MiB, 0 %
2026/05/28 16:53:00.552, 2303 MiB, 29809 MiB, 0 %
2026/05/28 16:53:00.752, 2303 MiB, 29809 MiB, 0 %
2026/05/28 16:53:00.952, 2303 MiB, 29809 MiB, 0 %
