timestamp, memory.used [MiB], memory.free [MiB], utilization.gpu [%]
2026/05/28 16:54:05.946, 2308 MiB, 29804 MiB, 0 %
2026/05/28 16:54:06.150, 2308 MiB, 29804 MiB, 0 %
2026/05/28 16:54:06.350, 2308 MiB, 29804 MiB, 0 %
2026/05/28 16:54:06.550, 2308 MiB, 29804 MiB, 0 %
2026/05/28 16:54:06.750, 2308 MiB, 29804 MiB, 0 %
2026/05/28 16:54:06.950, 2308 MiB, 29804 MiB, 0 %
2026/05/28 16:54:07.150, 2308 MiB, 29804 MiB, 0 %
2026/05/28 16:54:07.350, 2308 MiB, 29804 MiB, 0 %
2026/05/28 16:54:07.550, 2308 MiB, 29804 MiB, 0 %
2026/05/28 16:54:07.751, 2308 MiB, 29804 MiB, 0 %
2026/05/28 16:54:07.951, 2308 MiB, 29804 MiB, 0 %
2026/05/28 16:54:08.151, 2308 MiB, 29804 MiB, 0 %
2026/05/28 16:54:08.351, 2308 MiB, 29804 MiB, 0 %
2026/05/28 16:54:08.551, 2308 MiB, 29804 MiB, 0 %
2026/05/28 16:54:08.751, 2308 MiB, 29804 MiB, 0 %
2026/05/28 16:54:08.951, 2308 MiB, 29804 MiB, 0 %
2026/05/28 16:54:09.151, 2308 MiB, 29804 MiB, 0 %
2026/05/28 16:54:09.351, 2308 MiB, 29804 MiB, 0 %
2026/05/28 16:54:09.552, 2308 MiB, 29804 MiB, 0 %
2026/05/28 16:54:09.752, 2308 MiB, 29804 MiB, 0 %
2026/05/28 16:54:09.952, 2308 MiB, 29804 MiB, 0 %
2026/05/28 16:54:10.152, 2308 MiB, 29804 MiB, 0 %
2026/05/28 16:54:10.352, 2308 MiB, 29804 MiB, 0 %
2026/05/28 16:54:10.552, 2308 MiB, 29804 MiB, 0 %
2026/05/28 16:54:10.752, 2308 MiB, 29804 MiB, 0 %
2026/05/28 16:54:10.952, 2308 MiB, 29804 MiB, 0 %
2026/05/28 16:54:11.152, 2308 MiB, 29804 MiB, 0 %
2026/05/28 16:54:11.352, 2308 MiB, 29804 MiB, 0 %
2026/05/28 16:54:11.553, 2308 MiB, 29804 MiB, 0 %
2026/05/28 16:54:11.753, 2308 MiB, 29804 MiB, 0 %
2026/05/28 16:54:11.953, 2308 MiB, 29804 MiB, 0 %
2026/05/28 16:54:12.153, 2308 MiB, 29804 MiB, 0 %
2026/05/28 16:54:12.354, 2847 MiB, 29265 MiB, 0 %
2026/05/28 16:54:12.554, 2847 MiB, 29265 MiB, 0 %
2026/05/28 16:54:12.754, 2847 MiB, 29265 MiB, 0 %
2026/05/28 16:54:12.954, 2855 MiB, 29257 MiB, 0 %
2026/05/28 16:54:13.155, 2967 MiB, 29145 MiB, 0 %
2026/05/28 16:54:13.355, 2967 MiB, 29145 MiB, 0 %
2026/05/28 16:54:13.555, 2967 MiB, 29145 MiB, 0 %
2026/05/28 16:54:13.755, 2967 MiB, 29145 MiB, 0 %
2026/05/28 16:54:13.955, 2967 MiB, 29145 MiB, 0 %
2026/05/28 16:54:14.156, 2971 MiB, 29141 MiB, 0 %
2026/05/28 16:54:14.356, 2971 MiB, 29141 MiB, 0 %
2026/05/28 16:54:14.556, 2971 MiB, 29141 MiB, 0 %
2026/05/28 16:54:14.756, 2971 MiB, 29141 MiB, 0 %
2026/05/28 16:54:14.956, 2971 MiB, 29141 MiB, 0 %
2026/05/28 16:54:15.156, 2971 MiB, 29141 MiB, 0 %
2026/05/28 16:54:15.356, 2971 MiB, 29141 MiB, 0 %
2026/05/28 16:54:15.557, 2971 MiB, 29141 MiB, 0 %
2026/05/28 16:54:15.757, 2971 MiB, 29141 MiB, 0 %
2026/05/28 16:54:15.957, 3099 MiB, 29013 MiB, 0 %
2026/05/28 16:54:16.157, 3099 MiB, 29013 MiB, 0 %
2026/05/28 16:54:16.357, 3099 MiB, 29013 MiB, 0 %
2026/05/28 16:54:16.557, 3099 MiB, 29013 MiB, 0 %
2026/05/28 16:54:16.758, 3099 MiB, 29013 MiB, 0 %
