timestamp, memory.used [MiB], memory.free [MiB], utilization.gpu [%]
2026/05/28 17:01:20.095, 2304 MiB, 29808 MiB, 0 %
2026/05/28 17:01:20.299, 2304 MiB, 29808 MiB, 0 %
2026/05/28 17:01:20.499, 2304 MiB, 29808 MiB, 0 %
2026/05/28 17:01:20.699, 2304 MiB, 29808 MiB, 0 %
2026/05/28 17:01:20.899, 2304 MiB, 29808 MiB, 0 %
2026/05/28 17:01:21.100, 2304 MiB, 29808 MiB, 0 %
2026/05/28 17:01:21.300, 2304 MiB, 29808 MiB, 0 %
2026/05/28 17:01:21.500, 2304 MiB, 29808 MiB, 0 %
2026/05/28 17:01:21.700, 2304 MiB, 29808 MiB, 0 %
2026/05/28 17:01:21.900, 2304 MiB, 29808 MiB, 0 %
2026/05/28 17:01:22.100, 2304 MiB, 29808 MiB, 0 %
2026/05/28 17:01:22.300, 2304 MiB, 29808 MiB, 0 %
2026/05/28 17:01:22.501, 2304 MiB, 29808 MiB, 0 %
2026/05/28 17:01:22.701, 2304 MiB, 29808 MiB, 0 %
2026/05/28 17:01:22.901, 2304 MiB, 29808 MiB, 0 %
2026/05/28 17:01:23.101, 2304 MiB, 29808 MiB, 0 %
2026/05/28 17:01:23.301, 2304 MiB, 29808 MiB, 0 %
2026/05/28 17:01:23.502, 2304 MiB, 29808 MiB, 0 %
2026/05/28 17:01:23.702, 2304 MiB, 29808 MiB, 1 %
2026/05/28 17:01:23.902, 2303 MiB, 29808 MiB, 1 %
2026/05/28 17:01:24.102, 2303 MiB, 29808 MiB, 1 %
2026/05/28 17:01:24.302, 2303 MiB, 29808 MiB, 1 %
2026/05/28 17:01:24.503, 2303 MiB, 29808 MiB, 1 %
2026/05/28 17:01:24.703, 2303 MiB, 29808 MiB, 0 %
2026/05/28 17:01:24.903, 2303 MiB, 29808 MiB, 0 %
2026/05/28 17:01:25.103, 2303 MiB, 29808 MiB, 0 %
2026/05/28 17:01:25.303, 2303 MiB, 29808 MiB, 0 %
2026/05/28 17:01:25.504, 2303 MiB, 29808 MiB, 0 %
2026/05/28 17:01:25.704, 2303 MiB, 29808 MiB, 0 %
2026/05/28 17:01:25.904, 2303 MiB, 29808 MiB, 0 %
2026/05/28 17:01:26.104, 2303 MiB, 29808 MiB, 0 %
2026/05/28 17:01:26.306, 2303 MiB, 29808 MiB, 0 %
2026/05/28 17:01:26.506, 2303 MiB, 29808 MiB, 0 %
2026/05/28 17:01:26.708, 2843 MiB, 29269 MiB, 0 %
2026/05/28 17:01:26.909, 2843 MiB, 29269 MiB, 0 %
2026/05/28 17:01:27.109, 2843 MiB, 29269 MiB, 0 %
2026/05/28 17:01:27.309, 2899 MiB, 29213 MiB, 0 %
2026/05/28 17:01:27.509, 2963 MiB, 29149 MiB, 0 %
2026/05/28 17:01:27.709, 2963 MiB, 29149 MiB, 0 %
2026/05/28 17:01:27.909, 2963 MiB, 29149 MiB, 0 %
