timestamp, memory.used [MiB], memory.free [MiB], utilization.gpu [%]
2026/05/28 17:12:44.066, 3094 MiB, 29018 MiB, 0 %
2026/05/28 17:12:44.267, 3094 MiB, 29018 MiB, 1 %
2026/05/28 17:12:44.467, 3094 MiB, 29018 MiB, 1 %
2026/05/28 17:12:44.668, 3094 MiB, 29018 MiB, 0 %
2026/05/28 17:12:44.868, 3094 MiB, 29018 MiB, 0 %
2026/05/28 17:12:45.068, 3094 MiB, 29018 MiB, 0 %
2026/05/28 17:12:45.268, 3094 MiB, 29018 MiB, 0 %
2026/05/28 17:12:45.468, 3094 MiB, 29018 MiB, 0 %
2026/05/28 17:12:45.668, 3094 MiB, 29018 MiB, 0 %
2026/05/28 17:12:45.868, 3094 MiB, 29018 MiB, 0 %
2026/05/28 17:12:46.068, 3094 MiB, 29018 MiB, 0 %
2026/05/28 17:12:46.268, 3094 MiB, 29018 MiB, 0 %
2026/05/28 17:12:46.469, 3094 MiB, 29018 MiB, 0 %
2026/05/28 17:12:46.669, 3094 MiB, 29018 MiB, 0 %
2026/05/28 17:12:46.869, 3094 MiB, 29018 MiB, 0 %
2026/05/28 17:12:47.069, 3094 MiB, 29018 MiB, 0 %
2026/05/28 17:12:47.269, 3094 MiB, 29018 MiB, 0 %
2026/05/28 17:12:47.469, 3094 MiB, 29018 MiB, 0 %
2026/05/28 17:12:47.669, 3094 MiB, 29018 MiB, 0 %
2026/05/28 17:12:47.869, 3350 MiB, 28762 MiB, 0 %
2026/05/28 17:12:48.070, 3355 MiB, 28757 MiB, 0 %
2026/05/28 17:12:48.270, 3355 MiB, 28757 MiB, 0 %
2026/05/28 17:12:48.470, 3355 MiB, 28757 MiB, 0 %
2026/05/28 17:12:48.670, 3355 MiB, 28757 MiB, 0 %
2026/05/28 17:12:48.870, 3355 MiB, 28757 MiB, 0 %
2026/05/28 17:12:49.070, 3355 MiB, 28757 MiB, 0 %
2026/05/28 17:12:49.270, 3355 MiB, 28757 MiB, 1 %
2026/05/28 17:12:49.470, 3355 MiB, 28757 MiB, 1 %
