timestamp, memory.used [MiB], memory.free [MiB], utilization.gpu [%]
2026/05/28 17:08:23.669, 13125 MiB, 18987 MiB, 0 %
2026/05/28 17:08:23.871, 13125 MiB, 18987 MiB, 0 %
2026/05/28 17:08:24.071, 13124 MiB, 18988 MiB, 0 %
2026/05/28 17:08:24.271, 13124 MiB, 18988 MiB, 0 %
2026/05/28 17:08:24.472, 13124 MiB, 18988 MiB, 0 %
2026/05/28 17:08:24.672, 13124 MiB, 18988 MiB, 0 %
2026/05/28 17:08:24.872, 13124 MiB, 18988 MiB, 0 %
2026/05/28 17:08:25.072, 13124 MiB, 18988 MiB, 0 %
2026/05/28 17:08:25.272, 13124 MiB, 18988 MiB, 0 %
2026/05/28 17:08:25.472, 13124 MiB, 18988 MiB, 0 %
2026/05/28 17:08:25.672, 13124 MiB, 18988 MiB, 0 %
2026/05/28 17:08:25.872, 13124 MiB, 18988 MiB, 0 %
2026/05/28 17:08:26.072, 13124 MiB, 18988 MiB, 0 %
2026/05/28 17:08:26.273, 13124 MiB, 18988 MiB, 0 %
2026/05/28 17:08:26.473, 13124 MiB, 18988 MiB, 0 %
2026/05/28 17:08:26.673, 13126 MiB, 18986 MiB, 0 %
2026/05/28 17:08:26.873, 13126 MiB, 18986 MiB, 0 %
2026/05/28 17:08:27.073, 13126 MiB, 18986 MiB, 0 %
2026/05/28 17:08:27.273, 13126 MiB, 18986 MiB, 0 %
2026/05/28 17:08:27.473, 13126 MiB, 18986 MiB, 0 %
2026/05/28 17:08:27.673, 13126 MiB, 18986 MiB, 0 %
2026/05/28 17:08:27.874, 13126 MiB, 18986 MiB, 0 %
2026/05/28 17:08:28.074, 13126 MiB, 18986 MiB, 0 %
2026/05/28 17:08:28.274, 13126 MiB, 18986 MiB, 0 %
2026/05/28 17:08:28.474, 13126 MiB, 18986 MiB, 0 %
2026/05/28 17:08:28.674, 13126 MiB, 18986 MiB, 1 %
2026/05/28 17:08:28.874, 13126 MiB, 18986 MiB, 1 %
2026/05/28 17:08:29.074, 13126 MiB, 18986 MiB, 0 %
2026/05/28 17:08:29.274, 13126 MiB, 18986 MiB, 0 %
2026/05/28 17:08:29.474, 13126 MiB, 18986 MiB, 0 %
2026/05/28 17:08:29.675, 13128 MiB, 18984 MiB, 0 %
2026/05/28 17:08:29.876, 13128 MiB, 18984 MiB, 0 %
2026/05/28 17:08:30.076, 13128 MiB, 18984 MiB, 0 %
2026/05/28 17:08:30.276, 13128 MiB, 18984 MiB, 0 %
2026/05/28 17:08:30.476, 13128 MiB, 18984 MiB, 0 %
2026/05/28 17:08:30.676, 13128 MiB, 18984 MiB, 0 %
2026/05/28 17:08:30.877, 13128 MiB, 18984 MiB, 0 %
2026/05/28 17:08:31.077, 13128 MiB, 18984 MiB, 0 %
2026/05/28 17:08:31.277, 13130 MiB, 18982 MiB, 0 %
2026/05/28 17:08:31.477, 13130 MiB, 18982 MiB, 0 %
2026/05/28 17:08:31.677, 13131 MiB, 18981 MiB, 1 %
2026/05/28 17:08:31.877, 13131 MiB, 18981 MiB, 1 %
2026/05/28 17:08:32.077, 13131 MiB, 18981 MiB, 1 %
2026/05/28 17:08:32.277, 13131 MiB, 18981 MiB, 1 %
2026/05/28 17:08:32.478, 13131 MiB, 18981 MiB, 1 %
2026/05/28 17:08:32.678, 13131 MiB, 18981 MiB, 0 %
2026/05/28 17:08:32.878, 13131 MiB, 18981 MiB, 0 %
2026/05/28 17:08:33.078, 13131 MiB, 18981 MiB, 2 %
2026/05/28 17:08:33.278, 13131 MiB, 18981 MiB, 2 %
2026/05/28 17:08:33.480, 13131 MiB, 18981 MiB, 2 %
2026/05/28 17:08:33.680, 13131 MiB, 18981 MiB, 3 %
2026/05/28 17:08:33.880, 13131 MiB, 18981 MiB, 3 %
2026/05/28 17:08:34.080, 13131 MiB, 18981 MiB, 0 %
2026/05/28 17:08:34.280, 13131 MiB, 18981 MiB, 0 %
2026/05/28 17:08:34.481, 13131 MiB, 18981 MiB, 0 %
2026/05/28 17:08:34.681, 13131 MiB, 18981 MiB, 2 %
2026/05/28 17:08:34.881, 13131 MiB, 18981 MiB, 2 %
2026/05/28 17:08:35.081, 13131 MiB, 18981 MiB, 0 %
2026/05/28 17:08:35.282, 13131 MiB, 18981 MiB, 0 %
2026/05/28 17:08:35.482, 13131 MiB, 18981 MiB, 0 %
2026/05/28 17:08:35.682, 13131 MiB, 18981 MiB, 0 %
2026/05/28 17:08:35.882, 13131 MiB, 18981 MiB, 0 %
2026/05/28 17:08:36.083, 13131 MiB, 18981 MiB, 0 %
2026/05/28 17:08:36.283, 13131 MiB, 18981 MiB, 0 %
2026/05/28 17:08:36.483, 13131 MiB, 18981 MiB, 0 %
2026/05/28 17:08:36.689, 13131 MiB, 18981 MiB, 0 %
2026/05/28 17:08:36.889, 13131 MiB, 18981 MiB, 0 %
2026/05/28 17:08:37.089, 13131 MiB, 18981 MiB, 0 %
2026/05/28 17:08:37.289, 13131 MiB, 18981 MiB, 0 %
2026/05/28 17:08:37.489, 13131 MiB, 18981 MiB, 0 %
2026/05/28 17:08:37.690, 13131 MiB, 18981 MiB, 0 %
2026/05/28 17:08:37.890, 13131 MiB, 18981 MiB, 0 %
2026/05/28 17:08:38.090, 13131 MiB, 18981 MiB, 1 %
2026/05/28 17:08:38.290, 13147 MiB, 18965 MiB, 1 %
2026/05/28 17:08:38.492, 13670 MiB, 18442 MiB, 1 %
2026/05/28 17:08:38.692, 13670 MiB, 18442 MiB, 1 %
2026/05/28 17:08:38.892, 13670 MiB, 18442 MiB, 1 %
2026/05/28 17:08:39.092, 13694 MiB, 18418 MiB, 0 %
2026/05/28 17:08:39.292, 13790 MiB, 18322 MiB, 0 %
2026/05/28 17:08:39.492, 13790 MiB, 18322 MiB, 0 %
2026/05/28 17:08:39.692, 13790 MiB, 18322 MiB, 0 %
2026/05/28 17:08:39.893, 13790 MiB, 18322 MiB, 0 %
2026/05/28 17:08:40.093, 13790 MiB, 18322 MiB, 0 %
2026/05/28 17:08:40.293, 13794 MiB, 18318 MiB, 0 %
2026/05/28 17:08:40.493, 13794 MiB, 18318 MiB, 0 %
2026/05/28 17:08:40.693, 13794 MiB, 18318 MiB, 0 %
2026/05/28 17:08:40.894, 13794 MiB, 18318 MiB, 0 %
2026/05/28 17:08:41.096, 13794 MiB, 18318 MiB, 0 %
2026/05/28 17:08:41.296, 13794 MiB, 18318 MiB, 0 %
2026/05/28 17:08:41.496, 13794 MiB, 18318 MiB, 0 %
2026/05/28 17:08:41.697, 13794 MiB, 18318 MiB, 0 %
2026/05/28 17:08:41.897, 13794 MiB, 18318 MiB, 0 %
