timestamp, memory.used [MiB], memory.free [MiB], utilization.gpu [%]
2026/05/28 17:17:39.590, 11544 MiB, 20568 MiB, 0 %
2026/05/28 17:17:39.794, 11544 MiB, 20568 MiB, 0 %
2026/05/28 17:17:39.994, 11544 MiB, 20568 MiB, 0 %
2026/05/28 17:17:40.194, 11544 MiB, 20568 MiB, 0 %
2026/05/28 17:17:40.394, 11544 MiB, 20568 MiB, 0 %
2026/05/28 17:17:40.594, 11544 MiB, 20568 MiB, 0 %
2026/05/28 17:17:40.795, 11544 MiB, 20568 MiB, 0 %
2026/05/28 17:17:40.995, 11544 MiB, 20568 MiB, 0 %
2026/05/28 17:17:41.195, 11544 MiB, 20568 MiB, 0 %
2026/05/28 17:17:41.395, 11544 MiB, 20568 MiB, 0 %
2026/05/28 17:17:41.595, 11544 MiB, 20568 MiB, 0 %
2026/05/28 17:17:41.795, 11544 MiB, 20568 MiB, 0 %
2026/05/28 17:17:41.995, 11544 MiB, 20568 MiB, 0 %
2026/05/28 17:17:42.195, 11544 MiB, 20568 MiB, 0 %
2026/05/28 17:17:42.395, 11544 MiB, 20568 MiB, 0 %
2026/05/28 17:17:42.596, 11544 MiB, 20568 MiB, 0 %
2026/05/28 17:17:42.796, 11544 MiB, 20568 MiB, 0 %
2026/05/28 17:17:42.996, 11544 MiB, 20568 MiB, 0 %
2026/05/28 17:17:43.196, 11544 MiB, 20568 MiB, 0 %
2026/05/28 17:17:43.396, 11544 MiB, 20568 MiB, 0 %
2026/05/28 17:17:43.596, 11544 MiB, 20568 MiB, 0 %
2026/05/28 17:17:43.796, 11544 MiB, 20568 MiB, 0 %
2026/05/28 17:17:43.996, 11544 MiB, 20568 MiB, 0 %
2026/05/28 17:17:44.197, 11544 MiB, 20568 MiB, 0 %
2026/05/28 17:17:44.397, 11544 MiB, 20568 MiB, 0 %
2026/05/28 17:17:44.597, 11544 MiB, 20568 MiB, 0 %
2026/05/28 17:17:44.797, 11544 MiB, 20568 MiB, 0 %
2026/05/28 17:17:44.997, 11544 MiB, 20568 MiB, 0 %
2026/05/28 17:17:45.197, 11544 MiB, 20568 MiB, 0 %
2026/05/28 17:17:45.397, 11544 MiB, 20568 MiB, 0 %
2026/05/28 17:17:45.598, 11544 MiB, 20568 MiB, 0 %
2026/05/28 17:17:45.798, 11544 MiB, 20568 MiB, 0 %
2026/05/28 17:17:45.998, 11544 MiB, 20568 MiB, 0 %
2026/05/28 17:17:46.198, 11544 MiB, 20568 MiB, 0 %
2026/05/28 17:17:46.398, 11544 MiB, 20568 MiB, 0 %
2026/05/28 17:17:46.599, 11544 MiB, 20568 MiB, 0 %
2026/05/28 17:17:46.799, 11544 MiB, 20568 MiB, 0 %
2026/05/28 17:17:46.999, 11544 MiB, 20568 MiB, 0 %
2026/05/28 17:17:47.199, 11544 MiB, 20568 MiB, 0 %
2026/05/28 17:17:47.399, 11544 MiB, 20568 MiB, 0 %
2026/05/28 17:17:47.600, 11544 MiB, 20568 MiB, 0 %
2026/05/28 17:17:47.800, 11544 MiB, 20568 MiB, 0 %
2026/05/28 17:17:48.000, 11544 MiB, 20568 MiB, 0 %
2026/05/28 17:17:48.200, 11549 MiB, 20563 MiB, 0 %
2026/05/28 17:17:48.401, 11549 MiB, 20563 MiB, 0 %
2026/05/28 17:17:48.601, 11549 MiB, 20563 MiB, 0 %
2026/05/28 17:17:48.801, 11549 MiB, 20563 MiB, 0 %
2026/05/28 17:17:49.001, 11549 MiB, 20563 MiB, 0 %
2026/05/28 17:17:49.201, 11549 MiB, 20563 MiB, 0 %
2026/05/28 17:17:49.402, 11549 MiB, 20563 MiB, 0 %
2026/05/28 17:17:49.602, 11549 MiB, 20563 MiB, 0 %
2026/05/28 17:17:49.802, 11549 MiB, 20563 MiB, 0 %
2026/05/28 17:17:50.002, 11549 MiB, 20563 MiB, 0 %
2026/05/28 17:17:50.202, 11549 MiB, 20563 MiB, 0 %
2026/05/28 17:17:50.403, 11549 MiB, 20563 MiB, 0 %
2026/05/28 17:17:50.603, 11549 MiB, 20563 MiB, 0 %
2026/05/28 17:17:50.803, 11549 MiB, 20563 MiB, 0 %
2026/05/28 17:17:51.003, 11549 MiB, 20563 MiB, 0 %
2026/05/28 17:17:51.203, 11549 MiB, 20563 MiB, 0 %
2026/05/28 17:17:51.404, 11549 MiB, 20563 MiB, 0 %
2026/05/28 17:17:51.604, 11549 MiB, 20563 MiB, 0 %
2026/05/28 17:17:51.804, 11549 MiB, 20563 MiB, 0 %
2026/05/28 17:17:52.004, 11549 MiB, 20563 MiB, 0 %
2026/05/28 17:17:52.204, 11549 MiB, 20563 MiB, 0 %
2026/05/28 17:17:52.405, 11549 MiB, 20563 MiB, 0 %
2026/05/28 17:17:52.605, 11549 MiB, 20563 MiB, 0 %
2026/05/28 17:17:52.805, 11549 MiB, 20563 MiB, 0 %
2026/05/28 17:17:53.005, 11549 MiB, 20563 MiB, 0 %
2026/05/28 17:17:53.205, 11549 MiB, 20563 MiB, 0 %
2026/05/28 17:17:53.406, 11549 MiB, 20563 MiB, 0 %
2026/05/28 17:17:53.606, 11549 MiB, 20563 MiB, 0 %
2026/05/28 17:17:53.806, 11549 MiB, 20563 MiB, 0 %
2026/05/28 17:17:54.006, 11549 MiB, 20563 MiB, 0 %
2026/05/28 17:17:54.206, 11549 MiB, 20563 MiB, 0 %
2026/05/28 17:17:54.407, 11549 MiB, 20563 MiB, 0 %
2026/05/28 17:17:54.607, 11549 MiB, 20563 MiB, 0 %
2026/05/28 17:17:54.807, 11549 MiB, 20563 MiB, 0 %
2026/05/28 17:17:55.007, 11549 MiB, 20563 MiB, 0 %
2026/05/28 17:17:55.207, 11549 MiB, 20563 MiB, 0 %
2026/05/28 17:17:55.408, 11549 MiB, 20563 MiB, 0 %
2026/05/28 17:17:55.608, 11549 MiB, 20563 MiB, 0 %
2026/05/28 17:17:55.808, 11549 MiB, 20563 MiB, 0 %
2026/05/28 17:17:56.008, 11549 MiB, 20563 MiB, 0 %
2026/05/28 17:17:56.208, 11549 MiB, 20563 MiB, 0 %
2026/05/28 17:17:56.409, 11549 MiB, 20563 MiB, 0 %
2026/05/28 17:17:56.609, 12088 MiB, 20024 MiB, 0 %
2026/05/28 17:17:56.809, 12088 MiB, 20024 MiB, 1 %
2026/05/28 17:17:57.009, 12088 MiB, 20024 MiB, 1 %
2026/05/28 17:17:57.209, 12088 MiB, 20024 MiB, 0 %
2026/05/28 17:17:57.409, 12144 MiB, 19968 MiB, 0 %
2026/05/28 17:17:57.609, 12712 MiB, 19400 MiB, 0 %
2026/05/28 17:17:57.810, 12774 MiB, 19338 MiB, 0 %
2026/05/28 17:17:58.010, 12774 MiB, 19338 MiB, 0 %
2026/05/28 17:17:58.210, 12774 MiB, 19338 MiB, 0 %
2026/05/28 17:17:58.410, 12806 MiB, 19306 MiB, 0 %
2026/05/28 17:17:58.612, 12842 MiB, 19270 MiB, 0 %
2026/05/28 17:17:58.812, 12842 MiB, 19270 MiB, 1 %
2026/05/28 17:17:59.012, 12842 MiB, 19270 MiB, 1 %
2026/05/28 17:17:59.212, 12842 MiB, 19270 MiB, 0 %
2026/05/28 17:17:59.412, 12842 MiB, 19270 MiB, 0 %
2026/05/28 17:17:59.612, 12846 MiB, 19266 MiB, 0 %
2026/05/28 17:17:59.813, 12846 MiB, 19266 MiB, 0 %
2026/05/28 17:18:00.013, 12846 MiB, 19266 MiB, 0 %
2026/05/28 17:18:00.213, 12846 MiB, 19266 MiB, 1 %
2026/05/28 17:18:00.413, 12974 MiB, 19138 MiB, 1 %
2026/05/28 17:18:00.613, 13006 MiB, 19106 MiB, 1 %
2026/05/28 17:18:00.813, 13006 MiB, 19106 MiB, 1 %
2026/05/28 17:18:01.013, 13006 MiB, 19106 MiB, 1 %
2026/05/28 17:18:01.213, 13006 MiB, 19106 MiB, 0 %
2026/05/28 17:18:01.414, 13006 MiB, 19106 MiB, 0 %
2026/05/28 17:18:01.614, 13038 MiB, 19074 MiB, 0 %
2026/05/28 17:18:01.814, 13038 MiB, 19074 MiB, 3 %
2026/05/28 17:18:02.014, 13038 MiB, 19074 MiB, 3 %
2026/05/28 17:18:02.214, 13038 MiB, 19074 MiB, 0 %
2026/05/28 17:18:02.415, 13038 MiB, 19074 MiB, 0 %
2026/05/28 17:18:02.616, 13038 MiB, 19074 MiB, 0 %
2026/05/28 17:18:02.816, 13070 MiB, 19042 MiB, 3 %
2026/05/28 17:18:03.016, 13070 MiB, 19042 MiB, 3 %
2026/05/28 17:18:03.216, 13070 MiB, 19042 MiB, 0 %
2026/05/28 17:18:03.416, 13070 MiB, 19042 MiB, 0 %
2026/05/28 17:18:03.617, 13070 MiB, 19042 MiB, 0 %
2026/05/28 17:18:03.817, 13102 MiB, 19010 MiB, 0 %
2026/05/28 17:18:04.017, 13102 MiB, 19010 MiB, 0 %
2026/05/28 17:18:04.217, 13102 MiB, 19010 MiB, 1 %
2026/05/28 17:18:04.417, 13102 MiB, 19010 MiB, 1 %
2026/05/28 17:18:04.617, 13102 MiB, 19010 MiB, 0 %
2026/05/28 17:18:04.817, 13358 MiB, 18754 MiB, 0 %
2026/05/28 17:18:05.018, 13390 MiB, 18722 MiB, 0 %
2026/05/28 17:18:05.218, 13390 MiB, 18722 MiB, 2 %
2026/05/28 17:18:05.418, 13390 MiB, 18722 MiB, 2 %
2026/05/28 17:18:05.618, 13390 MiB, 18722 MiB, 0 %
2026/05/28 17:18:05.818, 13390 MiB, 18722 MiB, 0 %
2026/05/28 17:18:06.019, 13422 MiB, 18690 MiB, 0 %
2026/05/28 17:18:06.219, 13422 MiB, 18690 MiB, 3 %
